Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
RAP1_IAA_30M_REP1	94914	94914	0.0	0.000220758233280534	0.127676	0.88	45771.0	82.16490717913058	80.66919724448194	40166	0.009076529	3370.0	91544.0	100.0	99.99781525823647	0.028401642925806173	91544.0	89.86	44743.0	65.02982466710851	40.0	98.56476069972484	20.0	49791.0						
RAP1_IAA_30M_REP1_1																				64.61408688317167	40.0	98.59862224096725	20.0	49791.0	65.4	40.0	101.0	20.0	50000.0	1.760732673267327
RAP1_IAA_30M_REP1_2																									65.928	40.0	101.0	20.0	50000.0	2.15380198019802
RAP1_UNINDUCED_REP1	49100	49100	0.0	0.00383662038914916	0.760586	0.95	47750.0	0.0	78.70879945566251	39330	0.01171369	1350.0	47750.0	100.0	0.0	0.031413612565445025	47750.0	93.22	46583.0	64.30586963917628	40.0	98.3858392203166	20.0	49969.0	65.292	40.0	101.0	20.0	50000.0	1.978910891089109
RAP1_UNINDUCED_REP2	98433	98433	0.0	0.00402971363696909	0.823572	0.94	95926.0	0.0	78.91888647707836	78896	0.01179648	2507.0	95926.0	100.0	0.0	0.01146717261222192	95926.0	93.61	93583.0	71.79582078802852	40.0	98.47891888647708	20.0	99971.0	72.74	40.0	101.0	20.0	100000.0	1.8582475247524752
WT_REP1	188245	188245	0.0	0.00112766959637086	0.212978	1.07	90313.0	73.57326887832346	79.61452704738565	79269	0.009798976	7616.0	180629.0	100.0	99.99833913712638	0.05314761195599821	180629.0	88.48	88094.0	73.4557981640319	40.0	98.47106441958098	20.0	99566.0						
WT_REP1_1																				74.12168812646888	40.0	98.49934716670349	20.0	99566.0	75.072	40.0	101.0	20.0	100000.0	1.8528712871287127
WT_REP1_2																									74.463	40.0	101.0	20.0	100000.0	2.2733366336633662
WT_REP2	94419	94419	0.0	0.000183992895940396	0.134084	1.17	45363.0	81.10655694298818	79.48151125401928	39550	0.009270464	3692.0	90727.0	100.0	99.99889779227793	0.055110386103365036	90727.0	88.97	44269.0	65.12861736334405	40.0	98.39039389067524	20.0	49760.0						
WT_REP2_1																				66.88906752411576	40.0	98.44557877813504	20.0	49760.0	67.856	40.0	101.0	20.0	50000.0	1.9158415841584158
WT_REP2_2																									66.176	40.0	101.0	20.0	50000.0	2.371069306930693
