task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f5/0a025a	4007	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)	COMPLETED	0	2021-06-20 17:04:08.411	3.8s	0ms	78.6%	2.3 MB	29.8 MB	1.4 MB	1.5 KB
4	48/177558	4008	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz)	COMPLETED	0	2021-06-20 17:04:09.050	3.3s	91ms	46.4%	0	0	1.7 MB	1.7 MB
2	34/0dd0e8	4009	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz)	COMPLETED	0	2021-06-20 17:04:09.170	3.2s	24ms	79.3%	0	0	104.2 KB	1.5 KB
3	3d/ae4223	4010	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz)	COMPLETED	0	2021-06-20 17:04:09.349	7.9s	28ms	68.4%	0	0	114.1 KB	200.3 KB
5	60/4bb12b	4011	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_STAR_INDEX (star.tar.gz)	COMPLETED	0	2021-06-20 17:04:09.539	12.7s	8.8s	85.1%	3.5 MB	11.1 MB	1.5 GB	2.9 GB
8	27/948ce4	4012	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:04:16.558	5.7s	37ms	61.1%	0	0	4.4 MB	4.3 MB
11	c7/e53125	4013	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:04:16.595	10.6s	4s	189.0%	206 MB	3.5 GB	21.8 MB	1.8 MB
7	4a/8a93ff	4015	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:04:16.637	15.6s	5s	227.2%	333.4 MB	3.6 GB	24.9 MB	3.6 MB
9	d1/6b6efa	4014	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:04:16.618	20.6s	8s	159.3%	173.5 MB	3.3 GB	79.7 MB	52.3 MB
13	51/cc8fc0	4017	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP2)	COMPLETED	0	2021-06-20 17:04:16.674	25.6s	5s	251.8%	285.5 MB	3.6 GB	24.8 MB	3.6 MB
6	c5/215b29	4016	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:04:16.656	35.6s	17s	178.2%	114.2 MB	3.2 GB	189.7 MB	144.3 MB
12	dd/e2c011	4019	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (WT_REP1)	COMPLETED	0	2021-06-20 17:04:16.709	40.5s	52ms	61.9%	0	0	8.5 MB	8.4 MB
14	81/1cf892	4020	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa)	COMPLETED	0	2021-06-20 17:04:17.956	39.3s	0ms	84.0%	2.1 MB	29.8 MB	2.1 MB	429.5 KB
10	ae/d703b3	4018	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP2)	COMPLETED	0	2021-06-20 17:04:16.692	45.6s	18s	172.9%	152.3 MB	3.3 GB	188.9 MB	143.8 MB
15	9c/b08ed8	4021	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:04:22.293	40s	4s	215.8%	191.5 MB	3.5 GB	24 MB	1.8 MB
17	19/5d0ddb	4023	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP1)	COMPLETED	0	2021-06-20 17:04:57.293	15s	6s	225.6%	334.9 MB	3.7 GB	29 MB	3.6 MB
16	a7/60ee3f	4022	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:04:22.316	54.9s	13s	152.7%	155 MB	3.3 GB	134.2 MB	102.7 MB
19	8a/ceb629	4025	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome_gfp.fasta)	COMPLETED	0	2021-06-20 17:04:57.339	19.9s	0ms	103.7%	1.9 MB	26.3 MB	293.9 KB	423 B
23	95/220af7	4026	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf)	COMPLETED	0	2021-06-20 17:04:57.357	24.9s	0ms	66.7%	1 MB	11 MB	394 KB	6.7 KB
20	61/5c41ba	4027	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:04:57.376	29.9s	2s	58.3%	226.5 MB	427 MB	3.1 MB	31.3 KB
21	2b/15a0bb	4028	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:04:57.394	34.9s	1s	98.7%	233.4 MB	434.5 MB	5.1 MB	33.1 KB
