gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
YAL001C	TFC3	745.50233	814.511374	684.201062	403.024058	394.503082
YAL002W	VPS8	438.673229	331.984985	441.193814	390.127983	309.946572
YAL003W	EFB1	67389.387039	81475.720433	88397.92738	63836.794954	74910.958267
YAL004W	YAL004W	90.224132	0	0	0	90.45261
YAL005C	SSA1	156834.949998	126685.595351	136741.305895	111011.090773	110961.587573
YAL007C	ERP2	4601.430719	5218.545392	6379.438693	3100.232681	4613.083091
YAL008W	FUN14	1513.758187	1817.037777	1330.372856	525.157793	404.39698
YAL009W	SPO7	1132.664989	1049.6872	689.555682	368.843985	355.125507
YAL010C	MDM10	362.865893	361.255984	562.060937	516.435507	331.434621
YAL011W	SWC3	253.509639	546.765813	437.158506	264.670308	433.118684
YAL012W	CYS3	10824.52729	9163.151807	10964.963979	8980.950536	10230.514505
YAL013W	DEP1	330.220617	689.670517	695.479444	473.725773	414.600046
YAL014C	SYN8	1083.09114	1360.405418	1559.59251	1203.81388	1303.929446
YAL015C	NTG1	545.963007	468.491972	566.925559	197.16934	253.090034
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	3762.016325	3601.520246	3770.426194	2588.126681	2654.116184
YAL017W	PSK1	1133.104783	1096.846655	1042.04126	597.651367	670.203813
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	1410.300072	1308.605586	1455.15698	1346.858067	1161.368858
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	623.534176	394.563275	460.411621	325.128889	104.341633
YAL021C	CCR4	1977.351714	1670.968486	1707.698683	1360.58427	1523.297454
YAL022C	FUN26	1313.542886	1023.928003	1253.813507	914.019847	848.45703
YAL023C	PMT2	6301.7537	5864.804026	6225.309393	4704.964849	5199.509419
YAL024C	LTE1	523.650583	475.264975	469.261322	388.40279	494.954312
YAL025C	MAK16	1093.385073	1602.950055	1547.97111	1529.970962	1213.110655
YAL026C	DRS2	1367.441984	1612.562935	1586.906607	1065.16701	1393.322602
YAL026C-A	YAL026C-A	1913.48411	2170.097986	1945.063573	1204.688002	852.583413
YAL027W	SAW1	771.153744	691.95798	717.722922	182.638329	140.675862
YAL028W	FRT2	305.477886	221.923397	273.34668	63.771358	122.778473
YAL029C	MYO4	1806.600566	1566.887844	1652.933451	1306.207664	1436.86754
YAL030W	SNC1	3177.854576	4636.046985	7397.952974	2228.564042	2025.796856
YAL031C	GIP4	799.413279	729.73827	681.218959	395.984165	309.056045
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	668.821747	583.421651	778.043906	441.878101	671.697798
YAL033W	POP5	1588.251506	1636.277095	1697.203604	1206.532701	855.314415
YAL034C	FUN19	726.401551	598.208835	853.164184	252.634382	324.282689
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	493.792557	119.641767	775.603804	193.029254	371.708336
YAL035W	FUN12	6317.93076	6425.70385	6058.424277	6136.633893	6029.593315
YAL036C	RBG1	2484.394089	2501.347644	3287.838639	2015.625674	2356.341976
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	53.698485	0	79.592997	0	0
YAL037W	YAL037W	272.495623	334.737795	312.481532	212.986215	68.354703
YAL038W	CDC19	187996.15375	187635.147183	205828.040859	179823.318314	211135.570266
YAL039C	CYC3	674.877745	1125.914485	1339.578568	422.006023	406.308012
YAL040C	CLN3	963.310284	1093.043333	1185.276378	761.403947	1051.020982
YAL041W	CDC24	1103.296156	1041.374338	1154.929337	868.887323	927.276591
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	5819.075755	5425.83805	5589.321196	3517.275038	4232.610676
YAL043C	PTA1	1326.330166	1178.823286	1222.716578	816.556225	855.648677
YAL044C	GCV3	4261.279842	7897.266383	8922.687639	3256.429305	3258.041392
YAL044W-A	YAL044W-A	1517.543811	1339.955256	3242.979296	1174.045745	1001.055397
YAL045C	YAL045C	0	0	322.775182	0	0
YAL046C	AIM1	447.24288	1039.867666	1258.351463	1040.548374	1775.137489
YAL047C	SPC72	509.70106	526.896724	475.230988	252.765294	358.57087
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	428.510624	447.882634	508.803229	310.697705	239.263641
YAL049C	AIM2	2192.549135	2794.890152	2546.381524	1339.07344	1061.76516
YAL051W	OAF1	582.74238	743.316847	784.28713	631.498483	571.23258
YAL053W	FLC2	2302.639856	2276.1533	2370.056291	1430.303758	1356.832618
YAL054C	ACS1	87.845994	98.015189	71.165338	45.863224	22.073864
YAL055W	PEX22	692.269652	126.583439	328.24188	119.986871	230.94846
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	1086.050215	759.447735	1061.018218	686.030223	686.765652
YAL058W	CNE1	743.449576	795.39443	733.342943	691.609625	909.361315
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	1655.00855	2192.919781	2076.783851	1627.398169	1935.509494
YAL060W	BDH1	2208.963932	2104.04487	2439.140239	1013.931241	1197.987527
YAL061W	BDH2	1197.29841	554.117745	1551.825618	208.207435	200.441491
YAL062W	GDH3	610.990273	395.967413	393.598229	506.33347	469.38271
YAL063C	FLO9	46.86772	95.816627	52.108752	37.592381	12.414782
YAL063C-A	YAL063C-A	0	849.824431	440.733752	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	493.880027	0	0
YAL064W-B	YAL064W-B	200.062256	0	146.831853	207.26043	0
YAL065C	YAL065C	0	0	0	0	0
YAL066W	YAL066W	0	0	0	0	0
YAL067C	SEO1	26.858318	72.628488	50.221865	14.019485	0
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL068C	PAU8	434.4167	984.659414	1872.425583	449.514207	647.007078
YAL068W-A	YAL068W-A	0	0	891.131923	0	0
YAL069W	YAL069W	559.713557	567.771083	0	0	275.994574
YAR002C-A	ERP1	5985.790822	6965.485284	7224.843985	3987.589371	5913.690709
YAR002W	NUP60	1701.665548	1624.333474	1670.775137	966.027759	1199.920926
YAR003W	SWD1	1051.440903	611.55394	652.981669	487.601554	586.764622
YAR007C	RFA1	1480.743777	1537.722457	1499.756656	1279.383177	1154.583011
YAR008W	SEN34	590.838476	898.348216	599.013041	136.845985	329.385663
YAR009C	YAR009C	221205.927915	182314.212806	183564.177516	257901.050982	233338.800037
YAR010C	YAR010C	231277.930198	210366.575907	212158.36062	285247.880453	248051.321463
YAR014C	BUD14	1259.459592	1203.417981	1698.407299	819.045262	1110.436398
YAR015W	ADE1	3165.062055	3482.270809	4299.919751	2849.94591	2483.988484
YAR018C	KIN3	760.407609	490.780027	509.054141	515.750146	534.700297
YAR019C	CDC15	330.237009	471.410922	517.726408	229.943405	316.191462
YAR019W-A	YAR019W-A	0	0	0	0	0
