tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	YAL069W	559.713557	567.771083	0	0	275.994574
YAL068W-A	YAL068W-A	YAL068W-A	0	0	891.131923	0	0
YAL068C	YAL068C	YAL068C	434.4167	984.659414	1872.425583	449.514207	647.007078
YAL067W-A	YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	YAL067C	26.858318	72.628488	50.221865	14.019485	0
YAL066W	YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	YAL065C	0	0	0	0	0
YAL064W-B	YAL064W-B	YAL064W-B	200.062256	0	146.831853	207.26043	0
YAL064C-A	YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	YAL064W	0	0	493.880027	0	0
YAL063C-A	YAL063C-A	YAL063C-A	0	849.824431	440.733752	0	0
YAL063C	YAL063C	YAL063C	46.86772	95.816627	52.108752	37.592381	12.414782
YAL062W	YAL062W	YAL062W	610.990273	395.967413	393.598229	506.33347	469.38271
YAL061W	YAL061W	YAL061W	1197.29841	554.117745	1551.825618	208.207435	200.441491
YAL060W	YAL060W	YAL060W	2208.963932	2104.04487	2439.140239	1013.931241	1197.987527
YAL059C-A	YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	YAL059W	YAL059W	1655.00855	2192.919781	2076.783851	1627.398169	1935.509494
YAL058W	YAL058W	YAL058W	743.449576	795.39443	733.342943	691.609625	909.361315
YAL056C-A	YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	YAL056W	YAL056W	1086.050215	759.447735	1061.018218	686.030223	686.765652
YAL055W	YAL055W	YAL055W	692.269652	126.583439	328.24188	119.986871	230.94846
YAL054C	YAL054C	YAL054C	87.845994	98.015189	71.165338	45.863224	22.073864
YAL053W	YAL053W	YAL053W	2302.639856	2276.1533	2370.056291	1430.303758	1356.832618
YAL051W	YAL051W	YAL051W	582.74238	743.316847	784.28713	631.498483	571.23258
YAL049C	YAL049C	YAL049C	2192.549135	2794.890152	2546.381524	1339.07344	1061.76516
YAL048C	YAL048C	YAL048C	428.510624	447.882634	508.803229	310.697705	239.263641
YAL047W-A	YAL047W-A	YAL047W-A	0	0	0	0	0
YAL047C	YAL047C	YAL047C	509.70106	526.896724	475.230988	252.765294	358.57087
YAL046C	YAL046C	YAL046C	447.24288	1039.867666	1258.351463	1040.548374	1775.137489
YAL045C	YAL045C	YAL045C	0	0	322.775182	0	0
YAL044W-A	YAL044W-A	YAL044W-A	1517.543811	1339.955256	3242.979296	1174.045745	1001.055397
YAL044C	YAL044C	YAL044C	4261.279842	7897.266383	8922.687639	3256.429305	3258.041392
YAL043C	YAL043C	YAL043C	1326.330166	1178.823286	1222.716578	816.556225	855.648677
YAL042C-A	YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	YAL042W	YAL042W	5819.075755	5425.83805	5589.321196	3517.275038	4232.610676
YAL041W	YAL041W	YAL041W	1103.296156	1041.374338	1154.929337	868.887323	927.276591
YAL040C	YAL040C	YAL040C	963.310284	1093.043333	1185.276378	761.403947	1051.020982
YAL039C	YAL039C	YAL039C	674.877745	1125.914485	1339.578568	422.006023	406.308012
YAL038W	YAL038W	YAL038W	187996.15375	187635.147183	205828.040859	179823.318314	211135.570266
YAL037C-B	YAL037C-B	YAL037C-B	53.698485	0	79.592997	0	0
YAL037C-A	YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	YAL037W	272.495623	334.737795	312.481532	212.986215	68.354703
YAL036C	YAL036C	YAL036C	2484.394089	2501.347644	3287.838639	2015.625674	2356.341976
YAL035W	YAL035W	YAL035W	6317.93076	6425.70385	6058.424277	6136.633893	6029.593315
YAL034C-B	YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	YAL034W-A	493.792557	119.641767	775.603804	193.029254	371.708336
YAL034C	YAL034C	YAL034C	726.401551	598.208835	853.164184	252.634382	324.282689
YAL033W	YAL033W	YAL033W	1588.251506	1636.277095	1697.203604	1206.532701	855.314415
YAL032C	YAL032C	YAL032C	668.821747	583.421651	778.043906	441.878101	671.697798
YAL031W-A	YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	YAL031C	799.413279	729.73827	681.218959	395.984165	309.056045
YAL030W	YAL030W	YAL030W	3177.854576	4636.046985	7397.952974	2228.564042	2025.796856
YAL029C	YAL029C	YAL029C	1806.600566	1566.887844	1652.933451	1306.207664	1436.86754
YAL028W	YAL028W	YAL028W	305.477886	221.923397	273.34668	63.771358	122.778473
YAL027W	YAL027W	YAL027W	771.153744	691.95798	717.722922	182.638329	140.675862
YAL026C-A	YAL026C-A	YAL026C-A	1913.48411	2170.097986	1945.063573	1204.688002	852.583413
YAL026C	YAL026C	YAL026C	1367.441984	1612.562935	1586.906607	1065.16701	1393.322602
HRA1	HRA1	HRA1	0	0	0	0	0
YAL025C	YAL025C	YAL025C	1093.385073	1602.950055	1547.97111	1529.970962	1213.110655
YAL024C	YAL024C	YAL024C	523.650583	475.264975	469.261322	388.40279	494.954312
YAL023C	YAL023C	YAL023C	6301.7537	5864.804026	6225.309393	4704.964849	5199.509419
YAL022C	YAL022C	YAL022C	1313.542886	1023.928003	1253.813507	914.019847	848.45703
YAL021C	YAL021C	YAL021C	1977.351714	1670.968486	1707.698683	1360.58427	1523.297454
YAL020C	YAL020C	YAL020C	623.534176	394.563275	460.411621	325.128889	104.341633
YAL019W-A	YAL019W-A	YAL019W-A	0	0	0	0	0
YAL019W	YAL019W	YAL019W	1410.300072	1308.605586	1455.15698	1346.858067	1161.368858
YAL018C	YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	YAL017W	1133.104783	1096.846655	1042.04126	597.651367	670.203813
YAL016C-B	YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016C-A	YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016W	YAL016W	YAL016W	3762.016325	3601.520246	3770.426194	2588.126681	2654.116184
YAL015C	YAL015C	YAL015C	545.963007	468.491972	566.925559	197.16934	253.090034
YAL014C	YAL014C	YAL014C	1083.09114	1360.405418	1559.59251	1203.81388	1303.929446
YAL013W	YAL013W	YAL013W	330.220617	689.670517	695.479444	473.725773	414.600046
YAL012W	YAL012W	YAL012W	10824.52729	9163.151807	10964.963979	8980.950536	10230.514505
YAL011W	YAL011W	YAL011W	253.509639	546.765813	437.158506	264.670308	433.118684
YAL010C	YAL010C	YAL010C	362.865893	361.255984	562.060937	516.435507	331.434621
YAL009W	YAL009W	YAL009W	1132.664989	1049.6872	689.555682	368.843985	355.125507
YAL008W	YAL008W	YAL008W	1513.758187	1817.037777	1330.372856	525.157793	404.39698
YAL007C	YAL007C	YAL007C	4601.430719	5218.545392	6379.438693	3100.232681	4613.083091
tP(UGG)A	tP(UGG)A	tP(UGG)A	0	0	0	3155.927196	0
YAL005C	YAL005C	YAL005C	156834.949998	126685.595351	136741.305895	111011.090773	110961.587573
YAL004W	YAL004W	YAL004W	90.224132	0	0	0	90.45261
YAL003W	YAL003W	YAL003W	67389.387039	81475.720433	88397.92738	63836.794954	74910.958267
snR18	snR18	snR18	10045.926218	83743.483729	21715.414648	14126.114226	27065.635416
YAL002W	YAL002W	YAL002W	438.673229	331.984985	441.193814	390.127983	309.946572
YAL001C	YAL001C	YAL001C	745.50233	814.511374	684.201062	403.024058	394.503082
YAR002W	YAR002W	YAR002W	1701.665548	1624.333474	1670.775137	966.027759	1199.920926
YAR002C-A	YAR002C-A	YAR002C-A	5985.790822	6965.485284	7224.843985	3987.589371	5913.690709
YAR003W	YAR003W	YAR003W	1051.440903	611.55394	652.981669	487.601554	586.764622
YAR007C	YAR007C	YAR007C	1480.743777	1537.722457	1499.756656	1279.383177	1154.583011
YAR008W	YAR008W	YAR008W	590.838476	898.348216	599.013041	136.845985	329.385663
YAR009C	YAR009C	YAR009C	221205.927915	182314.212806	183564.177516	257901.050982	233338.800037
YAR010C	YAR010C	YAR010C	231277.930198	210366.575907	212158.36062	285247.880453	248051.321463
tA(UGC)A	tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	YAR014C	1259.459592	1203.417981	1698.407299	819.045262	1110.436398
