ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	RPKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	1	1	0	0	3.17460317460317	32.2514113620755	1	1	0	0	3.17460317460317	32.2514113620755
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	20	17	0.15	3	55.0964187327824	559.735238515359	19	16	0.157894736842105	3	52.3415977961432	531.748476589591
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	5	5	0	0	2.80583613916947	28.5050352947637	5	5	0	0	2.80583613916947	28.5050352947637
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	3	3	0	0	7.75193798449612	78.753446349254	0	0	NA	0	0	0
YAL064W-B	381	3	3	0	0	7.8740157480315	79.9936581027856	3	3	0	0	7.8740157480315	79.9936581027856
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	2	2	0	0	7.01754385964912	71.2925935372195	1	1	0	0	3.50877192982456	35.6462967686097
YAL063C-A	291	2	2	0	0	6.87285223367698	69.8226431550087	2	2	0	0	6.87285223367698	69.8226431550087
YAL063C	3969	24	24	0	0	6.04686318972033	61.4312597372866	8	8	0	0	2.01562106324011	20.4770865790955
YAL062W	1374	37	25	0.324324324324324	12	26.9286754002911	273.573653147736	33	21	0.363636363636364	12	24.0174672489083	243.998123077711
YAL061W	1254	91	81	0.10989010989011	10	72.5677830940989	737.230228623519	89	79	0.112359550561798	10	70.9728867623604	721.02736645597
YAL060W	1149	126	107	0.150793650793651	19	109.660574412533	1114.06311310772	126	107	0.150793650793651	19	109.660574412533	1114.06311310772
YAL059C-A	423	1	1	0	0	2.36406619385343	24.01700846112	0	0	NA	0	0	0
YAL059W	639	46	35	0.239130434782609	11	71.9874804381847	731.334821027345	46	35	0.239130434782609	11	71.9874804381847	731.334821027345
YAL058W	1509	56	48	0.142857142857143	8	37.1106693174288	377.014510554679	56	48	0.142857142857143	8	37.1106693174288	377.014510554679
YAL056C-A	351	4	4	0	0	11.3960113960114	115.774297197194	0	0	NA	0	0	0
YAL056W	2643	135	121	0.103703703703704	14	51.0783200908059	518.914592573689	135	121	0.103703703703704	14	51.0783200908059	518.914592573689
YAL055W	543	9	8	0.111111111111111	1	16.5745856353591	168.384440536803	9	8	0.111111111111111	1	16.5745856353591	168.384440536803
YAL054C	2142	15	14	0.0666666666666667	1	7.00280112044818	71.1428191810488	15	14	0.0666666666666667	1	7.00280112044818	71.1428191810488
YAL053W	2352	280	242	0.135714285714286	38	119.047619047619	1209.42792607783	280	242	0.135714285714286	38	119.047619047619	1209.42792607783
YAL051W	3144	126	113	0.103174603174603	13	40.0763358778626	407.14329419872	125	113	0.096	12	39.7582697201018	403.911998213016
YAL049C	741	81	64	0.209876543209877	17	109.311740890688	1110.51924548361	81	64	0.209876543209877	17	109.311740890688	1110.51924548361
YAL048C	1989	49	47	0.0408163265306122	2	24.6354952237305	250.276789529228	49	47	0.0408163265306122	2	24.6354952237305	250.276789529228
YAL047W-A	330	1	1	0	0	3.03030303030303	30.7854381183448	1	1	0	0	3.03030303030303	30.7854381183448
YAL047C	1869	45	43	0.0444444444444444	2	24.0770465489567	244.603400779786	45	43	0.0444444444444444	2	24.0770465489567	244.603400779786
YAL046C	357	11	9	0.181818181818182	2	30.812324929972	313.028404396615	11	9	0.181818181818182	2	30.812324929972	313.028404396615
YAL045C	309	1	1	0	0	3.23624595469256	32.8776523593973	1	1	0	0	3.23624595469256	32.8776523593973
YAL044W-A	333	32	27	0.15625	5	96.0960960960961	976.25893852769	32	27	0.15625	5	96.0960960960961	976.25893852769
YAL044C	513	172	102	0.406976744186047	70	335.282651072125	3406.20169122271	172	102	0.406976744186047	70	335.282651072125	3406.20169122271
YAL043C	2358	142	129	0.0915492957746479	13	60.2205258693808	611.792039959981	142	129	0.0915492957746479	13	60.2205258693808	611.792039959981
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
