ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	RPKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	4	4	0	0	11.0192837465565	233.40995014947	4	4	0	0	11.0192837465565	233.40995014947
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W-B	381	2	2	0	0	5.249343832021	111.191354205062	2	2	0	0	5.249343832021	111.191354205062
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	2	2	0	0	6.87285223367698	145.580432825185	0	0	NA	0	0	0
YAL063C	3969	6	6	0	0	1.51171579743008	32.0210929343377	1	1	0	0	0.251952632905014	5.33684882238962
YAL062W	1374	5	5	0	0	3.63901018922853	77.0813427076579	5	5	0	0	3.63901018922853	77.0813427076579
YAL061W	1254	6	6	0	0	4.78468899521531	101.349057301744	6	6	0	0	4.78468899521531	101.349057301744
YAL060W	1149	32	32	0	0	27.8503046127067	589.923842675423	32	32	0	0	27.8503046127067	589.923842675423
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	25	25	0	0	39.1236306729264	828.714905166839	25	25	0	0	39.1236306729264	828.714905166839
YAL058W	1509	31	31	0	0	20.5434062292909	435.149464717029	31	31	0	0	20.5434062292909	435.149464717029
YAL056C-A	351	30	30	0	0	85.4700854700855	1810.42333128755	1	1	0	0	2.84900284900285	60.3474443762518
YAL056W	2643	42	42	0	0	15.8910329171396	336.603111991943	42	42	0	0	15.8910329171396	336.603111991943
YAL055W	543	3	3	0	0	5.52486187845304	117.027364508643	3	3	0	0	5.52486187845304	117.027364508643
YAL054C	2142	3	3	0	0	1.40056022408964	29.6666008068129	1	1	0	0	0.466853408029879	9.88886693560429
YAL053W	2352	77	77	0	0	32.7380952380952	693.456793859251	77	77	0	0	32.7380952380952	693.456793859251
YAL051W	3144	44	44	0	0	13.9949109414758	296.43954546655	42	42	0	0	13.3587786259542	282.965020672616
YAL049C	741	23	23	0	0	31.0391363022942	657.469525572849	23	23	0	0	31.0391363022942	657.469525572849
YAL048C	1989	10	10	0	0	5.02765208647562	106.495490075739	10	10	0	0	5.02765208647562	106.495490075739
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	17	17	0	0	9.09577314071696	192.666238947616	15	15	0	0	8.02568218298556	169.999622600838
YAL046C	357	13	13	0	0	36.4145658263305	771.331620977135	10	10	0	0	28.0112044817927	593.332016136257
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	6	6	0	0	18.018018018018	381.656810379539	6	6	0	0	18.018018018018	381.656810379539
YAL044C	513	43	42	0.0232558139534884	1	83.8206627680312	1775.48533717499	42	41	0.0238095238095238	1	81.8713450292398	1734.1949804965
YAL043C	2358	45	45	0	0	19.0839694656489	404.235743818023	45	45	0	0	19.0839694656489	404.235743818023
YAL042C-A	378	1	1	0	0	2.64550264550265	56.036912635091	0	0	NA	0	0	0
YAL042W	1248	111	110	0.00900900900900901	1	88.9423076923077	1883.97177912111	111	110	0.00900900900900901	1	88.9423076923077	1883.97177912111
YAL041W	2565	51	51	0	0	19.8830409356725	421.161638120579	51	51	0	0	19.8830409356725	421.161638120579
YAL040C	1743	43	43	0	0	24.6701090074584	522.561088910367	43	43	0	0	24.6701090074584	522.561088910367
YAL039C	810	9	9	0	0	11.1111111111111	235.355033067382	9	9	0	0	11.1111111111111	235.355033067382
YAL038W	1503	6995	6053	0.134667619728377	942	4654.0252827678	98581.3446890023	6888	5953	0.135743321718931	935	4582.83433133733	97073.3813034807
YAL037C-B	975	1	1	0	0	1.02564102564103	21.7250799754507	0	0	NA	0	0	0
YAL037C-A	93	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037W	804	1	1	0	0	1.24378109452736	26.3457126567965	1	1	0	0	1.24378109452736	26.3457126567965
YAL036C	1110	57	57	0	0	51.3513513513514	1087.72190958169	57	57	0	0	51.3513513513514	1087.72190958169
YAL035W	3009	415	411	0.00963855421686747	4	137.919574609505	2921.40594385734	410	406	0.00975609756097561	4	136.257892987704	2886.20828188315
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	6	6	0	0	6.89655172413793	146.082434317685	6	6	0	0	6.89655172413793	146.082434317685
YAL034C	1242	13	13	0	0	10.4669887278583	221.71126303449	12	12	0	0	9.66183574879227	204.656550493376
YAL033W	522	10	10	0	0	19.1570881226054	405.784539771349	10	10	0	0	19.1570881226054	405.784539771349
YAL032C	1140	18	18	0	0	15.7894736842105	334.451889095754	18	18	0	0	15.7894736842105	334.451889095754
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	17	17	0	0	7.44634253175646	157.728077351334	17	17	0	0	7.44634253175646	157.728077351334
YAL030W	354	13	13	0	0	36.7231638418079	777.868329629483	13	13	0	0	36.7231638418079	777.868329629483
YAL029C	4416	150	150	0	0	33.9673913043478	719.495685328274	150	150	0	0	33.9673913043478	719.495685328274
YAL028W	1587	5	5	0	0	3.15059861373661	66.7358316826225	5	5	0	0	3.15059861373661	66.7358316826225
YAL027W	786	4	4	0	0	5.08905852417303	107.796198351473	4	4	0	0	5.08905852417303	107.796198351473
YAL026C-A	438	4	4	0	0	9.1324200913242	193.442492932095	4	4	0	0	9.1324200913242	193.442492932095
YAL026C	4068	126	126	0	0	30.9734513274336	656.078189524118	125	125	0	0	30.7276302851524	650.87121976599
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	28	28	0	0	30.4017372421281	643.968168653424	27	27	0	0	29.3159609120521	620.96930548723
YAL024C	4308	48	48	0	0	11.142061281337	236.010618117709	48	48	0	0	11.142061281337	236.010618117709
YAL023C	2280	272	268	0.0147058823529412	4	119.298245614035	2526.96982872347	272	268	0.0147058823529412	4	119.298245614035	2526.96982872347
YAL022C	1554	30	30	0	0	19.3050193050193	408.918011120934	30	30	0	0	19.3050193050193	408.918011120934
YAL021C	2514	89	88	0.0112359550561798	1	35.4017501988862	749.878207983186	87	86	0.0114942528735632	1	34.6062052505967	733.027012298171
YAL020C	1002	3	3	0	0	2.9940119760479	63.4190208864203	3	3	0	0	2.9940119760479	63.4190208864203
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	85	85	0	0	25.0294464075383	530.1725568214	85	85	0	0	25.0294464075383	530.1725568214
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	73	73	0	0	17.9317121100467	379.828682695333	71	71	0	0	17.4404323262098	369.422417416009
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	116	116	0	0	60.7966457023061	1287.79169036869	116	116	0	0	60.7966457023061	1287.79169036869
YAL015C	1200	7	7	0	0	5.83333333333333	123.561392360376	7	7	0	0	5.83333333333333	123.561392360376
YAL014C	768	21	21	0	0	27.34375	579.194026689261	21	21	0	0	27.34375	579.194026689261
YAL013W	1218	10	10	0	0	8.21018062397373	173.907659902007	10	10	0	0	8.21018062397373	173.907659902007
YAL012W	1185	295	294	0.00338983050847458	1	248.945147679325	5273.14441176287	295	294	0.00338983050847458	1	248.945147679325	5273.14441176287
YAL011W	1878	18	18	0	0	9.58466453674121	203.021913508604	18	18	0	0	9.58466453674121	203.021913508604
YAL010C	1482	11	11	0	0	7.42240215924426	157.220973506551	11	11	0	0	7.42240215924426	157.220973506551
YAL009W	780	6	6	0	0	7.69230769230769	162.93809981588	6	6	0	0	7.69230769230769	162.93809981588
YAL008W	597	6	6	0	0	10.0502512562814	212.883949508185	6	6	0	0	10.0502512562814	212.883949508185
YAL007C	648	76	76	0	0	117.283950617284	2484.30312682237	74	74	0	0	114.197530864198	2418.92672874809
tP(UGG)A	72	1	1	0	0	13.8888888888889	294.193791334228	1	1	0	0	13.8888888888889	294.193791334228
YAL005C	1929	4433	3958	0.107150913602527	475	2298.08190772421	48677.8629045586	4345	3871	0.109090909090909	474	2252.46241575946	47711.5529709693
YAL004W	648	1	1	0	0	1.54320987654321	32.6881990371364	1	1	0	0	1.54320987654321	32.6881990371364
YAL003W	621	968	902	0.0681818181818182	66	1558.77616747182	33017.923479598	968	902	0.0681818181818182	66	1558.77616747182	33017.923479598
snR18	102	15	13	0.133333333333333	2	147.058823529412	3114.99308471535	15	13	0.133333333333333	2	147.058823529412	3114.99308471535
YAL002W	3825	29	28	0.0344827586206897	1	7.58169934640523	160.595199034214	29	28	0.0344827586206897	1	7.58169934640523	160.595199034214
YAL001C	3483	30	30	0	0	8.61326442721792	182.445762067738	30	30	0	0	8.61326442721792	182.445762067738
YAR002W	1620	47	47	0	0	29.0123456790123	614.538141898165	47	47	0	0	29.0123456790123	614.538141898165
YAR002C-A	660	84	84	0	0	127.272727272727	2695.88492422638	84	84	0	0	127.272727272727	2695.88492422638
YAR003W	1281	18	18	0	0	14.0515222482436	297.638683504418	18	18	0	0	14.0515222482436	297.638683504418
YAR007C	1866	50	50	0	0	26.7952840300107	567.576446303976	49	49	0	0	26.2593783494105	556.224917377897
YAR008W	828	7	7	0	0	8.45410628019324	179.074481681704	7	7	0	0	8.45410628019324	179.074481681704
YAR009C	3591	18753	15826	0.156081693595691	2927	5222.22222222222	110616.86554167	18208	15309	0.159215729349736	2899	5070.45391255918	107402.11634313
YAR010C	1323	8066	6820	0.154475576493925	1246	6096.74981103553	129141.067804184	7751	6517	0.159205263836924	1234	5858.65457294029	124097.745667026
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	56	56	0	0	26.2910798122066	556.896416272116	56	56	0	0	26.2910798122066	556.896416272116
YAR015W	921	55	55	0	0	59.7176981541802	1264.93747414065	54	54	0	0	58.6319218241042	1241.93861097446
YAR018C	1308	18	18	0	0	13.7614678899083	291.494765725657	15	15	0	0	11.4678899082569	242.912304771381
