## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[WT_REP2.sorted.bam] OUTPUT=WT_REP2.markdup.sorted.bam METRICS_FILE=WT_REP2.markdup.sorted.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jun 20 22:07:44 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	45363	3692	0	1	6082	0	0.134084	153686

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35229	35229
2.0	1.744407	2928	2928
3.0	2.29855	688	688
4.0	2.711058	237	237
5.0	3.018131	86	86
6.0	3.246719	52	52
7.0	3.416882	27	27
8.0	3.543552	11	11
9.0	3.637847	9	9
10.0	3.70804	5	5
11.0	3.760293	2	2
12.0	3.79919	4	4
13.0	3.828145	0	0
14.0	3.8497	1	1
15.0	3.865745	1	1
16.0	3.877689	0	0
17.0	3.886581	1	1
18.0	3.8932	0	0
19.0	3.898127	0	0
20.0	3.901794	0	0
21.0	3.904525	0	0
22.0	3.906557	0	0
23.0	3.90807	0	0
24.0	3.909197	0	0
25.0	3.910035	0	0
26.0	3.910659	0	0
27.0	3.911124	0	0
28.0	3.911469	0	0
29.0	3.911727	0	0
30.0	3.911919	0	0
31.0	3.912061	0	0
32.0	3.912167	0	0
33.0	3.912247	0	0
34.0	3.912305	0	0
35.0	3.912349	0	0
36.0	3.912382	0	0
37.0	3.912406	0	0
38.0	3.912424	0	0
39.0	3.912438	0	0
40.0	3.912448	0	0
41.0	3.912455	0	0
42.0	3.912461	0	0
43.0	3.912465	0	0
44.0	3.912468	0	0
45.0	3.91247	0	0
46.0	3.912472	0	0
47.0	3.912473	0	0
48.0	3.912474	0	0
49.0	3.912475	0	0
50.0	3.912475	0	0
51.0	3.912476	0	0
52.0	3.912476	0	0
53.0	3.912476	0	0
54.0	3.912476	0	0
55.0	3.912476	0	0
56.0	3.912477	0	0
57.0	3.912477	0	0
58.0	3.912477	0	0
59.0	3.912477	0	0
60.0	3.912477	0	0
61.0	3.912477	0	0
62.0	3.912477	0	0
63.0	3.912477	0	0
64.0	3.912477	0	0
65.0	3.912477	0	0
66.0	3.912477	0	0
67.0	3.912477	0	0
68.0	3.912477	0	0
69.0	3.912477	0	0
70.0	3.912477	0	0
71.0	3.912477	0	0
72.0	3.912477	0	0
73.0	3.912477	0	0
74.0	3.912477	0	0
75.0	3.912477	0	0
76.0	3.912477	0	0
77.0	3.912477	0	0
78.0	3.912477	0	0
79.0	3.912477	0	0
80.0	3.912477	0	0
81.0	3.912477	0	0
82.0	3.912477	0	0
83.0	3.912477	0	0
84.0	3.912477	0	0
85.0	3.912477	0	0
86.0	3.912477	0	0
87.0	3.912477	0	0
88.0	3.912477	0	0
89.0	3.912477	0	0
90.0	3.912477	0	0
91.0	3.912477	0	0
92.0	3.912477	0	0
93.0	3.912477	0	0
94.0	3.912477	0	0
95.0	3.912477	0	0
96.0	3.912477	0	0
97.0	3.912477	0	0
98.0	3.912477	0	0
99.0	3.912477	0	0
100.0	3.912477	0	0

