TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	355163.0	299044.1	443942.2
2000000.0	448154.0	358838.5	667835.4
3000000.0	491401.4	384674.3	804565.7
4000000.0	515938.6	399078.8	898591.1
5000000.0	531807.8	408264.1	967310.4
6000000.0	542948.5	414631.6	1019760.8
7000000.0	551214.0	419305.5	1061121.9
8000000.0	557681.1	422882.1	1094580.8
9000000.0	562818.4	425707.3	1122208.1
10000000.0	566997.8	427995.4	1145407.9
11000000.0	570464.4	429886.2	1165166.8
12000000.0	573395.0	431474.9	1182198.2
13000000.0	575911.9	432828.6	1197030.6
14000000.0	578087.1	433995.8	1210064.6
15000000.0	579972.6	435012.6	1221608.6
16000000.0	581614.2	435906.3	1231904.5
17000000.0	583070.6	436698.0	1241144.4
18000000.0	584371.3	437404.2	1249482.9
19000000.0	585540.2	438038.0	1257045.8
20000000.0	586596.2	438610.0	1263936.6
21000000.0	587554.9	439128.9	1270241.1
22000000.0	588429.3	439601.7	1276031.0
23000000.0	589229.9	440034.2	1281367.0
24000000.0	589965.7	440431.5	1286300.4
25000000.0	590644.4	440797.7	1290875.1
26000000.0	591272.2	441136.2	1295128.9
27000000.0	591854.7	441450.2	1299094.4
28000000.0	592396.7	441742.1	1302800.0
29000000.0	592902.1	442014.3	1306270.3
30000000.0	593374.7	442268.6	1309527.2
31000000.0	593817.5	442506.7	1312589.8
32000000.0	594233.2	442730.3	1315474.8
33000000.0	594624.2	442940.5	1318197.4
34000000.0	594992.8	443138.5	1320770.9
35000000.0	595340.7	443325.3	1323207.1
36000000.0	595669.6	443502.0	1325516.9
37000000.0	595981.1	443669.2	1327709.7
38000000.0	596276.5	443827.7	1329794.3
39000000.0	596557.0	443978.2	1331778.5
40000000.0	596823.8	444121.3	1333669.3
41000000.0	597077.8	444257.5	1335473.2
42000000.0	597319.8	444387.3	1337196.1
43000000.0	597550.8	444511.1	1338843.3
44000000.0	597771.5	444629.3	1340419.7
45000000.0	597982.5	444742.4	1341929.7
46000000.0	598184.5	444850.6	1343377.5
47000000.0	598378.0	444954.2	1344766.8
48000000.0	598563.6	445053.6	1346101.1
49000000.0	598741.7	445148.9	1347383.6
50000000.0	598912.8	445240.5	1348617.2
51000000.0	599077.3	445328.6	1349804.8
52000000.0	599235.5	445413.2	1350948.8
53000000.0	599387.8	445494.7	1352051.6
54000000.0	599534.6	445573.3	1353115.3
55000000.0	599676.1	445649.0	1354142.1
56000000.0	599812.6	445722.0	1355133.8
57000000.0	599944.4	445792.4	1356092.1
58000000.0	600071.7	445860.5	1357018.8
59000000.0	600194.7	445926.3	1357915.4
60000000.0	600313.7	445989.9	1358783.2
61000000.0	600428.8	446051.4	1359623.8
62000000.0	600540.3	446111.0	1360438.3
63000000.0	600648.2	446168.7	1361227.9
64000000.0	600752.9	446224.6	1361993.8
65000000.0	600854.3	446278.8	1362737.0
66000000.0	600952.7	446331.4	1363458.5
67000000.0	601048.2	446382.4	1364159.3
68000000.0	601140.9	446431.9	1364840.2
69000000.0	601230.9	446480.0	1365502.0
70000000.0	601318.4	446526.7	1366145.6
71000000.0	601403.5	446572.1	1366771.7
72000000.0	601486.2	446616.3	1367381.0
73000000.0	601566.7	446659.3	1367974.1
74000000.0	601645.0	446701.1	1368551.8
75000000.0	601721.3	446741.8	1369114.5
76000000.0	601795.5	446781.5	1369662.9
77000000.0	601867.9	446820.1	1370197.6
78000000.0	601938.4	446857.7	1370718.9
79000000.0	602007.2	446894.4	1371227.4
80000000.0	602074.2	446930.2	1371723.7
81000000.0	602139.6	446965.1	1372208.0
82000000.0	602203.4	446999.2	1372680.9
83000000.0	602265.7	447032.4	1373142.7
84000000.0	602326.6	447064.9	1373593.9
85000000.0	602386.0	447096.6	1374034.7
86000000.0	602444.0	447127.5	1374465.6
87000000.0	602500.7	447157.8	1374886.8
88000000.0	602556.2	447187.4	1375298.8
89000000.0	602610.4	447216.3	1375701.7
90000000.0	602663.4	447244.6	1376095.9
91000000.0	602715.2	447272.2	1376481.7
92000000.0	602766.0	447299.3	1376859.4
93000000.0	602815.6	447325.7	1377229.1
94000000.0	602864.2	447351.7	1377591.2
95000000.0	602911.8	447377.0	1377945.8
96000000.0	602958.4	447401.9	1378293.3
97000000.0	603004.0	447426.2	1378633.7
98000000.0	603048.8	447450.1	1378967.4
99000000.0	603092.6	447473.4	1379294.5
100000000.0	603135.5	447496.3	1379615.3
101000000.0	603177.6	447518.8	1379929.8
102000000.0	603218.9	447540.8	1380238.3
103000000.0	603259.4	447562.4	1380541.0
104000000.0	603299.2	447583.6	1380838.0
105000000.0	603338.1	447604.3	1381129.4
106000000.0	603376.4	447624.7	1381415.5
107000000.0	603413.9	447644.7	1381696.4
108000000.0	603450.7	447664.4	1381972.2
109000000.0	603486.9	447683.7	1382243.0
110000000.0	603522.4	447702.6	1382509.1
111000000.0	603557.3	447721.2	1382770.4
112000000.0	603591.5	447739.4	1383027.2
113000000.0	603625.2	447757.4	1383279.5
114000000.0	603658.3	447775.0	1383527.5
115000000.0	603690.8	447792.3	1383771.3
116000000.0	603722.7	447809.3	1384011.0
117000000.0	603754.1	447826.1	1384246.6
118000000.0	603785.0	447842.5	1384478.4
119000000.0	603815.3	447858.7	1384706.3
120000000.0	603845.2	447874.6	1384930.5
121000000.0	603874.6	447890.2	1385151.1
122000000.0	603903.4	447905.6	1385368.1
123000000.0	603931.9	447920.8	1385581.7
124000000.0	603959.8	447935.7	1385791.9
125000000.0	603987.3	447950.3	1385998.8
126000000.0	604014.4	447964.7	1386202.5
127000000.0	604041.1	447978.9	1386403.1
128000000.0	604067.3	447992.9	1386600.5
129000000.0	604093.1	448006.7	1386795.0
130000000.0	604118.6	448020.2	1386986.5
131000000.0	604143.6	448033.6	1387175.2
132000000.0	604168.3	448046.7	1387361.0
133000000.0	604192.6	448059.7	1387544.2
134000000.0	604216.6	448072.4	1387724.6
135000000.0	604240.2	448085.0	1387902.4
136000000.0	604263.4	448097.4	1388077.6
137000000.0	604286.3	448109.6	1388250.4
138000000.0	604308.9	448121.6	1388420.6
139000000.0	604331.2	448133.5	1388588.5
140000000.0	604353.1	448145.2	1388754.0
141000000.0	604374.8	448156.7	1388917.2
142000000.0	604396.1	448168.0	1389078.2
143000000.0	604417.1	448179.2	1389236.9
144000000.0	604437.9	448190.3	1389393.5
145000000.0	604458.3	448201.2	1389547.9
146000000.0	604478.5	448211.9	1389700.3
147000000.0	604498.4	448222.5	1389850.6
148000000.0	604518.0	448233.0	1389998.9
149000000.0	604537.4	448243.3	1390145.3
150000000.0	604556.5	448253.5	1390289.7
151000000.0	604575.4	448263.5	1390432.3
152000000.0	604594.0	448273.4	1390573.0
153000000.0	604612.4	448283.2	1390712.0
154000000.0	604630.5	448292.9	1390849.1
155000000.0	604648.4	448302.4	1390984.5
156000000.0	604666.1	448311.8	1391118.2
157000000.0	604683.6	448321.1	1391250.2
158000000.0	604700.8	448330.3	1391380.6
159000000.0	604717.8	448339.4	1391509.3
160000000.0	604734.6	448348.3	1391636.5
161000000.0	604751.2	448357.1	1391762.1
162000000.0	604767.6	448365.9	1391886.2
163000000.0	604783.8	448374.5	1392008.8
164000000.0	604799.8	448383.0	1392129.9
165000000.0	604815.6	448391.4	1392249.6
166000000.0	604831.2	448399.7	1392367.8
167000000.0	604846.7	448407.9	1392484.7
168000000.0	604861.9	448416.1	1392600.2
169000000.0	604877.0	448424.1	1392714.3
170000000.0	604891.9	448432.0	1392827.1
171000000.0	604906.6	448439.8	1392938.6
172000000.0	604921.1	448447.6	1393048.9
173000000.0	604935.5	448455.2	1393157.9
174000000.0	604949.7	448462.8	1393265.6
175000000.0	604963.8	448470.3	1393372.1
176000000.0	604977.7	448477.7	1393477.5
177000000.0	604991.4	448485.0	1393581.6
178000000.0	605005.0	448492.2	1393684.6
179000000.0	605018.4	448499.4	1393786.5
180000000.0	605031.7	448506.4	1393887.3
181000000.0	605044.8	448513.4	1393986.9
182000000.0	605057.8	448520.3	1394085.5
183000000.0	605070.7	448527.2	1394183.0
184000000.0	605083.4	448533.9	1394279.5
185000000.0	605096.0	448540.6	1394375.0
186000000.0	605108.4	448547.3	1394469.4
187000000.0	605120.7	448553.8	1394562.8
188000000.0	605132.9	448560.3	1394655.3
189000000.0	605145.0	448566.7	1394746.8
190000000.0	605156.9	448573.0	1394837.3
191000000.0	605168.7	448579.3	1394926.9
192000000.0	605180.4	448585.5	1395015.6
193000000.0	605191.9	448591.7	1395103.4
194000000.0	605203.4	448597.8	1395190.3
195000000.0	605214.7	448603.8	1395276.3
196000000.0	605225.9	448609.8	1395361.4
197000000.0	605237.0	448615.7	1395445.7
198000000.0	605247.9	448621.5	1395529.1
199000000.0	605258.8	448627.3	1395611.7
200000000.0	605269.6	448633.0	1395693.5
201000000.0	605280.2	448638.7	1395774.5
202000000.0	605290.8	448644.3	1395854.7
203000000.0	605301.2	448649.9	1395934.2
204000000.0	605311.6	448655.4	1396012.8
205000000.0	605321.8	448660.8	1396090.7
206000000.0	605332.0	448666.2	1396167.8
207000000.0	605342.0	448671.6	1396244.3
208000000.0	605352.0	448676.9	1396319.9
209000000.0	605361.8	448682.1	1396394.9
210000000.0	605371.6	448687.3	1396469.2
211000000.0	605381.3	448692.4	1396542.7
212000000.0	605390.8	448697.5	1396615.6
213000000.0	605400.3	448702.6	1396687.8
214000000.0	605409.7	448707.6	1396759.4
215000000.0	605419.0	448712.5	1396830.2
216000000.0	605428.3	448717.4	1396900.5
217000000.0	605437.4	448722.3	1396970.1
218000000.0	605446.5	448727.1	1397039.0
219000000.0	605455.4	448731.9	1397107.4
220000000.0	605464.3	448736.6	1397175.1
221000000.0	605473.2	448741.3	1397242.2
222000000.0	605481.9	448746.0	1397308.7
223000000.0	605490.6	448750.6	1397374.7
224000000.0	605499.1	448755.2	1397440.0
225000000.0	605507.6	448759.7	1397504.8
226000000.0	605516.1	448764.2	1397569.0
227000000.0	605524.4	448768.6	1397632.7
228000000.0	605532.7	448773.0	1397695.7
229000000.0	605540.9	448777.4	1397758.3
230000000.0	605549.1	448781.7	1397820.3
231000000.0	605557.1	448786.0	1397881.8
232000000.0	605565.1	448790.3	1397942.7
233000000.0	605573.1	448794.5	1398003.2
234000000.0	605580.9	448798.7	1398063.1
235000000.0	605588.7	448802.8	1398122.5
236000000.0	605596.5	448806.9	1398181.5
237000000.0	605604.1	448811.0	1398239.9
238000000.0	605611.7	448815.0	1398297.8
239000000.0	605619.3	448819.1	1398355.3
240000000.0	605626.7	448823.0	1398412.3
241000000.0	605634.2	448827.0	1398468.8
242000000.0	605641.5	448830.9	1398524.9
243000000.0	605648.8	448834.8	1398580.5
244000000.0	605656.0	448838.6	1398635.7
245000000.0	605663.2	448842.4	1398690.4
246000000.0	605670.3	448846.2	1398744.6
247000000.0	605677.4	448850.0	1398798.5
248000000.0	605684.4	448853.7	1398851.9
249000000.0	605691.3	448857.4	1398904.9
250000000.0	605698.2	448861.1	1398957.4
251000000.0	605705.1	448864.7	1399009.6
252000000.0	605711.8	448868.3	1399061.3
253000000.0	605718.6	448871.9	1399112.6
254000000.0	605725.2	448875.4	1399163.6
255000000.0	605731.9	448879.0	1399214.1
256000000.0	605738.4	448882.4	1399264.3
257000000.0	605745.0	448885.9	1399314.0
258000000.0	605751.4	448889.4	1399363.4
259000000.0	605757.9	448892.8	1399412.4
260000000.0	605764.2	448896.2	1399461.0
261000000.0	605770.5	448899.5	1399509.3
262000000.0	605776.8	448902.9	1399557.2
263000000.0	605783.0	448906.2	1399604.7
264000000.0	605789.2	448909.5	1399651.9
265000000.0	605795.4	448912.7	1399698.7
266000000.0	605801.5	448916.0	1399745.2
267000000.0	605807.5	448919.2	1399791.3
268000000.0	605813.5	448922.4	1399837.1
269000000.0	605819.4	448925.5	1399882.5
270000000.0	605825.3	448928.7	1399927.6
271000000.0	605831.2	448931.8	1399972.4
272000000.0	605837.0	448934.9	1400016.9
273000000.0	605842.8	448938.0	1400061.0
274000000.0	605848.6	448941.0	1400104.8
275000000.0	605854.2	448944.0	1400148.4
276000000.0	605859.9	448947.0	1400191.5
277000000.0	605865.5	448950.0	1400234.4
278000000.0	605871.1	448953.0	1400277.0
279000000.0	605876.6	448955.9	1400319.3
280000000.0	605882.1	448958.9	1400361.2
281000000.0	605887.6	448961.8	1400402.9
282000000.0	605893.0	448964.6	1400444.3
283000000.0	605898.4	448967.5	1400485.4
284000000.0	605903.7	448970.3	1400526.2
285000000.0	605909.0	448973.2	1400566.7
286000000.0	605914.3	448976.0	1400607.0
287000000.0	605919.5	448978.7	1400646.9
288000000.0	605924.7	448981.5	1400686.6
289000000.0	605929.9	448984.2	1400726.0
290000000.0	605935.0	448987.0	1400765.2
291000000.0	605940.1	448989.7	1400804.1
292000000.0	605945.1	448992.4	1400842.7
293000000.0	605950.1	448995.0	1400881.1
294000000.0	605955.1	448997.7	1400919.1
295000000.0	605960.1	449000.3	1400957.0
296000000.0	605965.0	449002.9	1400994.6
297000000.0	605969.9	449005.5	1401031.9
298000000.0	605974.7	449008.1	1401069.0
299000000.0	605979.5	449010.7	1401105.8
300000000.0	605984.3	449013.2	1401142.4
301000000.0	605989.1	449015.7	1401178.8
302000000.0	605993.8	449018.3	1401214.9
303000000.0	605998.5	449020.7	1401250.8
304000000.0	606003.2	449023.2	1401286.5
305000000.0	606007.8	449025.7	1401321.9
306000000.0	606012.4	449028.1	1401357.1
307000000.0	606017.0	449030.6	1401392.0
308000000.0	606021.5	449033.0	1401426.7
309000000.0	606026.0	449035.4	1401461.3
310000000.0	606030.5	449037.8	1401495.6
311000000.0	606035.0	449040.1	1401529.6
312000000.0	606039.4	449042.5	1401563.5
313000000.0	606043.8	449044.8	1401597.1
314000000.0	606048.1	449047.1	1401630.5
315000000.0	606052.5	449049.5	1401663.8
316000000.0	606056.8	449051.8	1401696.8
317000000.0	606061.1	449054.0	1401729.6
318000000.0	606065.4	449056.3	1401762.2
319000000.0	606069.6	449058.5	1401794.6
320000000.0	606073.8	449060.8	1401826.8
321000000.0	606078.0	449063.0	1401858.8
322000000.0	606082.1	449065.2	1401890.6
323000000.0	606086.3	449067.4	1401922.2
324000000.0	606090.4	449069.6	1401953.6
325000000.0	606094.4	449071.8	1401984.8
326000000.0	606098.5	449073.9	1402015.8
327000000.0	606102.5	449076.1	1402046.6
328000000.0	606106.5	449078.2	1402077.3
329000000.0	606110.5	449080.3	1402107.8
330000000.0	606114.5	449082.4	1402138.0
331000000.0	606118.4	449084.5	1402168.2
332000000.0	606122.3	449086.6	1402198.1
333000000.0	606126.2	449088.6	1402227.8
334000000.0	606130.1	449090.7	1402257.4
335000000.0	606133.9	449092.7	1402286.8
336000000.0	606137.7	449094.8	1402316.0
337000000.0	606141.5	449096.8	1402345.0
338000000.0	606145.3	449098.8	1402373.9
339000000.0	606149.0	449100.8	1402402.6
340000000.0	606152.8	449102.8	1402431.2
341000000.0	606156.5	449104.7	1402459.5
342000000.0	606160.1	449106.7	1402487.7
343000000.0	606163.8	449108.6	1402515.8
344000000.0	606167.4	449110.6	1402543.7
345000000.0	606171.1	449112.5	1402571.4
346000000.0	606174.7	449114.4	1402599.0
347000000.0	606178.2	449116.3	1402626.4
348000000.0	606181.8	449118.2	1402653.6
349000000.0	606185.3	449120.1	1402680.7
350000000.0	606188.9	449122.0	1402707.6
351000000.0	606192.4	449123.8	1402734.4
352000000.0	606195.8	449125.7	1402761.1
353000000.0	606199.3	449127.5	1402787.6
354000000.0	606202.7	449129.3	1402813.9
355000000.0	606206.1	449131.2	1402840.1
356000000.0	606209.5	449133.0	1402866.1
357000000.0	606212.9	449134.8	1402892.0
358000000.0	606216.3	449136.5	1402917.8
359000000.0	606219.6	449138.3	1402943.4
360000000.0	606223.0	449140.1	1402968.9
361000000.0	606226.3	449141.9	1402994.2
362000000.0	606229.6	449143.6	1403019.4
363000000.0	606232.8	449145.3	1403044.5
364000000.0	606236.1	449147.1	1403069.4
365000000.0	606239.3	449148.8	1403094.2
366000000.0	606242.5	449150.5	1403118.8
367000000.0	606245.7	449152.2	1403143.3
368000000.0	606248.9	449153.9	1403167.7
369000000.0	606252.1	449155.6	1403192.0
370000000.0	606255.2	449157.2	1403216.1
371000000.0	606258.4	449158.9	1403240.1
372000000.0	606261.5	449160.6	1403263.9
373000000.0	606264.6	449162.2	1403287.7
374000000.0	606267.6	449163.8	1403311.3
375000000.0	606270.7	449165.5	1403334.8
376000000.0	606273.8	449167.1	1403358.1
377000000.0	606276.8	449168.7	1403381.4
378000000.0	606279.8	449170.3	1403404.5
379000000.0	606282.8	449171.9	1403427.5
380000000.0	606285.8	449173.5	1403450.4
381000000.0	606288.8	449175.1	1403473.1
382000000.0	606291.7	449176.6	1403495.8
383000000.0	606294.6	449178.2	1403518.3
384000000.0	606297.6	449179.8	1403540.7
385000000.0	606300.5	449181.3	1403563.0
386000000.0	606303.4	449182.8	1403585.1
387000000.0	606306.2	449184.4	1403607.2
388000000.0	606309.1	449185.9	1403629.1
389000000.0	606312.0	449187.4	1403651.0
390000000.0	606314.8	449188.9	1403672.7
391000000.0	606317.6	449190.4	1403694.3
392000000.0	606320.4	449191.9	1403715.8
393000000.0	606323.2	449193.4	1403737.2
394000000.0	606326.0	449194.9	1403758.5
395000000.0	606328.7	449196.3	1403779.7
396000000.0	606331.5	449197.8	1403800.8
397000000.0	606334.2	449199.2	1403821.7
398000000.0	606336.9	449200.7	1403842.6
399000000.0	606339.7	449202.1	1403863.3
400000000.0	606342.3	449203.6	1403884.0
401000000.0	606345.0	449205.0	1403904.6
402000000.0	606347.7	449206.4	1403925.0
403000000.0	606350.3	449207.8	1403945.4
404000000.0	606353.0	449209.2	1403965.6
405000000.0	606355.6	449210.6	1403985.8
406000000.0	606358.2	449212.0	1404005.8
407000000.0	606360.8	449213.4	1404025.8
408000000.0	606363.4	449214.8	1404045.6
409000000.0	606366.0	449216.1	1404065.4
410000000.0	606368.6	449217.5	1404085.1
411000000.0	606371.1	449218.8	1404104.6
412000000.0	606373.6	449220.2	1404124.1
413000000.0	606376.2	449221.5	1404143.5
414000000.0	606378.7	449222.9	1404162.8
415000000.0	606381.2	449224.2	1404182.0
416000000.0	606383.7	449225.5	1404201.1
417000000.0	606386.2	449226.9	1404220.1
418000000.0	606388.6	449228.2	1404239.0
419000000.0	606391.1	449229.5	1404257.8
420000000.0	606393.5	449230.8	1404276.6
421000000.0	606396.0	449232.1	1404295.2
422000000.0	606398.4	449233.3	1404313.8
423000000.0	606400.8	449234.6	1404332.3
424000000.0	606403.2	449235.9	1404350.7
425000000.0	606405.6	449237.2	1404369.0
426000000.0	606407.9	449238.4	1404387.2
427000000.0	606410.3	449239.7	1404405.4
428000000.0	606412.7	449240.9	1404423.4
429000000.0	606415.0	449242.2	1404441.4
430000000.0	606417.3	449243.4	1404459.3
431000000.0	606419.7	449244.7	1404477.1
432000000.0	606422.0	449245.9	1404494.8
433000000.0	606424.3	449247.1	1404512.4
434000000.0	606426.5	449248.3	1404530.0
435000000.0	606428.8	449249.5	1404547.5
436000000.0	606431.1	449250.7	1404564.9
437000000.0	606433.4	449251.9	1404582.2
438000000.0	606435.6	449253.1	1404599.4
439000000.0	606437.8	449254.3	1404616.6
440000000.0	606440.1	449255.5	1404633.7
441000000.0	606442.3	449256.7	1404650.7
442000000.0	606444.5	449257.9	1404667.6
443000000.0	606446.7	449259.0	1404684.5
444000000.0	606448.9	449260.2	1404701.3
445000000.0	606451.0	449261.3	1404718.0
446000000.0	606453.2	449262.5	1404734.6
447000000.0	606455.4	449263.6	1404751.2
448000000.0	606457.5	449264.8	1404767.7
449000000.0	606459.7	449265.9	1404784.1
450000000.0	606461.8	449267.0	1404800.4
451000000.0	606463.9	449268.2	1404816.7
452000000.0	606466.0	449269.3	1404832.9
453000000.0	606468.1	449270.4	1404849.0
454000000.0	606470.2	449271.5	1404865.0
455000000.0	606472.3	449272.6	1404881.0
456000000.0	606474.4	449273.7	1404896.9
457000000.0	606476.4	449274.8	1404912.8
458000000.0	606478.5	449275.9	1404928.6
459000000.0	606480.5	449277.0	1404944.3
460000000.0	606482.6	449278.1	1404959.9
461000000.0	606484.6	449279.2	1404975.5
462000000.0	606486.6	449280.2	1404991.0
463000000.0	606488.6	449281.3	1405006.4
464000000.0	606490.6	449282.4	1405021.8
465000000.0	606492.6	449283.4	1405037.1
466000000.0	606494.6	449284.5	1405052.3
467000000.0	606496.6	449285.5	1405067.5
468000000.0	606498.5	449286.6	1405082.6
469000000.0	606500.5	449287.6	1405097.7
470000000.0	606502.4	449288.7	1405112.7
471000000.0	606504.4	449289.7	1405127.6
472000000.0	606506.3	449290.7	1405142.4
473000000.0	606508.3	449291.7	1405157.2
474000000.0	606510.2	449292.8	1405172.0
475000000.0	606512.1	449293.8	1405186.6
476000000.0	606514.0	449294.8	1405201.3
477000000.0	606515.9	449295.8	1405215.8
478000000.0	606517.8	449296.8	1405230.3
479000000.0	606519.6	449297.8	1405244.7
480000000.0	606521.5	449298.8	1405259.1
481000000.0	606523.4	449299.8	1405273.4
482000000.0	606525.2	449300.8	1405287.6
483000000.0	606527.1	449301.8	1405301.8
484000000.0	606528.9	449302.7	1405316.0
485000000.0	606530.8	449303.7	1405330.0
486000000.0	606532.6	449304.7	1405344.1
487000000.0	606534.4	449305.6	1405358.0
488000000.0	606536.2	449306.6	1405371.9
489000000.0	606538.0	449307.6	1405385.8
490000000.0	606539.8	449308.5	1405399.6
491000000.0	606541.6	449309.5	1405413.3
492000000.0	606543.4	449310.4	1405427.0
493000000.0	606545.1	449311.4	1405440.6
494000000.0	606546.9	449312.3	1405454.2
495000000.0	606548.7	449313.2	1405467.7
496000000.0	606550.4	449314.2	1405481.1
497000000.0	606552.2	449315.1	1405494.6
498000000.0	606553.9	449316.0	1405507.9
499000000.0	606555.6	449316.9	1405521.2
500000000.0	606557.4	449317.8	1405534.5
501000000.0	606559.1	449318.8	1405547.6
502000000.0	606560.8	449319.7	1405560.8
503000000.0	606562.5	449320.6	1405573.9
504000000.0	606564.2	449321.5	1405586.9
505000000.0	606565.9	449322.4	1405599.9
506000000.0	606567.6	449323.3	1405612.8
507000000.0	606569.2	449324.2	1405625.7
508000000.0	606570.9	449325.0	1405638.6
509000000.0	606572.6	449325.9	1405651.3
510000000.0	606574.2	449326.8	1405664.1
511000000.0	606575.9	449327.7	1405676.8
512000000.0	606577.5	449328.6	1405689.4
513000000.0	606579.2	449329.4	1405702.0
514000000.0	606580.8	449330.3	1405714.5
515000000.0	606582.4	449331.2	1405727.0
516000000.0	606584.0	449332.0	1405739.4
517000000.0	606585.7	449332.9	1405751.8
518000000.0	606587.3	449333.7	1405764.2
519000000.0	606588.9	449334.6	1405776.5
520000000.0	606590.5	449335.4	1405788.7
521000000.0	606592.0	449336.3	1405800.9
522000000.0	606593.6	449337.1	1405813.1
523000000.0	606595.2	449338.0	1405825.2
524000000.0	606596.8	449338.8	1405837.3
525000000.0	606598.3	449339.6	1405849.3
526000000.0	606599.9	449340.4	1405861.3
527000000.0	606601.4	449341.3	1405873.2
528000000.0	606603.0	449342.1	1405885.1
529000000.0	606604.5	449342.9	1405896.9
530000000.0	606606.1	449343.7	1405908.7
531000000.0	606607.6	449344.5	1405920.5
532000000.0	606609.1	449345.4	1405932.2
533000000.0	606610.6	449346.2	1405943.8
534000000.0	606612.1	449347.0	1405955.5
535000000.0	606613.7	449347.8	1405967.0
536000000.0	606615.2	449348.6	1405978.6
537000000.0	606616.6	449349.4	1405990.1
538000000.0	606618.1	449350.1	1406001.5
539000000.0	606619.6	449350.9	1406012.9
540000000.0	606621.1	449351.7	1406024.3
541000000.0	606622.6	449352.5	1406035.6
542000000.0	606624.0	449353.3	1406046.9
543000000.0	606625.5	449354.1	1406058.1
544000000.0	606627.0	449354.8	1406069.3
545000000.0	606628.4	449355.6	1406080.5
546000000.0	606629.9	449356.4	1406091.6
547000000.0	606631.3	449357.1	1406102.7
548000000.0	606632.7	449357.9	1406113.7
549000000.0	606634.2	449358.7	1406124.7
550000000.0	606635.6	449359.4	1406135.6
551000000.0	606637.0	449360.2	1406146.6
552000000.0	606638.4	449360.9	1406157.4
553000000.0	606639.8	449361.7	1406168.3
554000000.0	606641.2	449362.4	1406179.1
555000000.0	606642.6	449363.2	1406189.8
556000000.0	606644.0	449363.9	1406200.6
557000000.0	606645.4	449364.6	1406211.2
558000000.0	606646.8	449365.4	1406221.9
559000000.0	606648.2	449366.1	1406232.5
560000000.0	606649.6	449366.8	1406243.1
561000000.0	606650.9	449367.6	1406253.6
562000000.0	606652.3	449368.3	1406264.1
563000000.0	606653.7	449369.0	1406274.5
564000000.0	606655.0	449369.7	1406285.0
565000000.0	606656.4	449370.5	1406295.3
566000000.0	606657.7	449371.2	1406305.7
567000000.0	606659.0	449371.9	1406316.0
568000000.0	606660.4	449372.6	1406326.3
569000000.0	606661.7	449373.3	1406336.5
570000000.0	606663.0	449374.0	1406346.7
571000000.0	606664.4	449374.7	1406356.9
572000000.0	606665.7	449375.4	1406367.0
573000000.0	606667.0	449376.1	1406377.1
574000000.0	606668.3	449376.8	1406387.2
575000000.0	606669.6	449377.5	1406397.2
576000000.0	606670.9	449378.2	1406407.2
577000000.0	606672.2	449378.9	1406417.2
578000000.0	606673.5	449379.6	1406427.1
