TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	47420.1	38450.5	56287.4
2000000.0	56047.9	42960.3	74820.5
3000000.0	59842.5	44794.9	85400.4
4000000.0	61976.9	45690.3	93003.0
5000000.0	63345.8	46235.6	98458.1
6000000.0	64276.9	46608.2	102566.7
7000000.0	64961.9	46878.9	105758.0
8000000.0	65487.0	47084.5	108094.5
9000000.0	65902.3	47245.9	109997.0
10000000.0	66239.1	47376.1	111576.0
11000000.0	66517.6	47483.2	112907.6
12000000.0	66751.8	47572.9	114045.8
13000000.0	66951.5	47649.2	115029.9
14000000.0	67123.8	47714.8	115889.1
15000000.0	67273.9	47771.8	116645.9
16000000.0	67405.9	47821.9	117317.4
17000000.0	67522.9	47866.1	117917.4
18000000.0	67627.3	47905.5	118456.7
19000000.0	67721.0	47940.9	118944.1
20000000.0	67805.6	47972.8	119386.7
21000000.0	67882.4	48001.6	119790.4
22000000.0	67952.3	48027.9	120160.2
23000000.0	68016.4	48051.9	120500.1
24000000.0	68075.2	48074.0	120813.6
25000000.0	68129.4	48094.3	121103.7
26000000.0	68179.5	48113.1	121372.9
27000000.0	68226.0	48130.5	121623.4
28000000.0	68269.2	48146.6	121857.0
29000000.0	68309.6	48161.7	122075.5
30000000.0	68347.2	48175.8	122280.2
31000000.0	68382.5	48188.9	122472.5
32000000.0	68415.7	48201.3	122653.3
33000000.0	68446.8	48212.9	122823.7
34000000.0	68476.1	48223.8	122984.7
35000000.0	68503.8	48234.2	123136.8
36000000.0	68530.0	48243.9	123280.9
37000000.0	68554.8	48253.1	123417.6
38000000.0	68578.3	48261.9	123547.4
39000000.0	68600.6	48270.2	123670.8
40000000.0	68621.8	48278.1	123788.3
41000000.0	68642.0	48285.6	123900.3
42000000.0	68661.3	48292.7	124007.2
43000000.0	68679.7	48299.5	124109.4
44000000.0	68697.2	48306.1	124207.0
45000000.0	68714.0	48312.3	124300.5
46000000.0	68730.0	48318.2	124390.1
47000000.0	68745.4	48323.9	124476.0
48000000.0	68760.1	48329.4	124558.5
49000000.0	68774.3	48334.7	124637.7
50000000.0	68787.8	48339.7	124713.8
51000000.0	68800.9	48344.5	124787.1
52000000.0	68813.5	48349.2	124857.6
53000000.0	68825.6	48353.7	124925.6
54000000.0	68837.2	48358.0	124991.1
55000000.0	68848.4	48362.2	125054.3
56000000.0	68859.3	48366.2	125115.3
57000000.0	68869.7	48370.0	125174.3
58000000.0	68879.8	48373.8	125231.2
59000000.0	68889.6	48377.4	125286.3
