TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	383949.6	225097.2	497991.7
2000000.0	504610.6	246391.2	801218.8
3000000.0	564463.5	254913.2	1015388.1
4000000.0	599811.8	258946.6	1174950.1
5000000.0	623276.6	261377.3	1298469.9
6000000.0	639988.3	263040.1	1396931.9
7000000.0	652495.6	264249.2	1477263.0
8000000.0	662207.8	265168.1	1544050.8
9000000.0	669967.7	265890.1	1600454.9
10000000.0	676310.3	266472.3	1648722.7
11000000.0	681591.3	266951.7	1690496.4
12000000.0	686056.7	267353.3	1727004.2
13000000.0	689881.9	267694.7	1759182.9
14000000.0	693195.4	267988.5	1787759.4
15000000.0	696093.3	268243.9	1813306.7
16000000.0	698649.4	268468.1	1836282.0
17000000.0	700920.6	268666.3	1857055.3
18000000.0	702952.1	268843.0	1875928.7
19000000.0	704780.0	269001.4	1893151.3
20000000.0	706433.3	269144.1	1908930.8
21000000.0	707936.0	269273.5	1923441.1
22000000.0	709307.8	269391.4	1936829.6
23000000.0	710565.0	269499.1	1949221.5
24000000.0	711721.4	269597.9	1960724.0
25000000.0	712788.7	269689.0	1971429.6
26000000.0	713776.8	269773.1	1981418.3
27000000.0	714694.2	269851.1	1990759.9
28000000.0	715548.2	269923.6	1999515.2
29000000.0	716345.2	269991.1	2007737.7
30000000.0	717090.7	270054.2	2015474.7
31000000.0	717789.5	270113.2	2022767.9
32000000.0	718445.9	270168.6	2029654.4
33000000.0	719063.6	270220.7	2036167.3
34000000.0	719646.0	270269.8	2042336.3
35000000.0	720196.0	270316.0	2048187.8
36000000.0	720716.2	270359.7	2053745.8
37000000.0	721209.0	270401.1	2059031.8
38000000.0	721676.5	270440.3	2064065.3
39000000.0	722120.6	270477.5	2068864.0
40000000.0	722543.0	270512.9	2073443.9
41000000.0	722945.2	270546.6	2077819.6
42000000.0	723328.8	270578.7	2082004.5
43000000.0	723694.9	270609.3	2086010.9
44000000.0	724044.6	270638.5	2089849.8
45000000.0	724379.2	270666.4	2093531.7
46000000.0	724699.5	270693.1	2097065.9
47000000.0	725006.5	270718.7	2100461.1
48000000.0	725300.9	270743.2	2103725.4
49000000.0	725583.5	270766.8	2106866.3
50000000.0	725855.0	270789.4	2109890.5
51000000.0	726116.1	270811.1	2112804.5
52000000.0	726367.3	270832.0	2115614.1
53000000.0	726609.2	270852.1	2118325.0
54000000.0	726842.3	270871.5	2120942.2
55000000.0	727067.1	270890.1	2123470.4
56000000.0	727283.9	270908.1	2125914.2
57000000.0	727493.3	270925.5	2128277.7
58000000.0	727695.6	270942.3	2130564.8
59000000.0	727891.1	270958.5	2132779.1
60000000.0	728080.3	270974.2	2134924.1
61000000.0	728263.3	270989.3	2137003.0
62000000.0	728440.5	271004.0	2139018.7
63000000.0	728612.1	271018.2	2140974.2
64000000.0	728778.5	271032.0	2142872.0
65000000.0	728939.8	271045.4	2144714.7
66000000.0	729096.3	271058.3	2146504.6
67000000.0	729248.2	271070.9	2148244.1
68000000.0	729395.7	271083.1	2149935.1
69000000.0	729539.0	271094.9	2151579.8
70000000.0	729678.2	271106.4	2153179.9
71000000.0	729813.6	271117.6	2154737.2
72000000.0	729945.2	271128.5	2156253.5
73000000.0	730073.3	271139.1	2157730.4
74000000.0	730198.0	271149.4	2159169.3
75000000.0	730319.4	271159.4	2160571.7
76000000.0	730437.7	271169.1	2161939.0
77000000.0	730552.9	271178.6	2163272.5
78000000.0	730665.1	271187.9	2164573.4
79000000.0	730774.6	271196.9	2165843.0
80000000.0	730881.4	271205.7	2167082.2
81000000.0	730985.6	271214.3	2168292.2
82000000.0	731087.2	271222.7	2169474.1
83000000.0	731186.4	271230.9	2170628.8
84000000.0	731283.3	271238.9	2171757.1
85000000.0	731378.0	271246.7	2172860.1
86000000.0	731470.5	271254.3	2173938.5
87000000.0	731560.8	271261.7	2174993.2
88000000.0	731649.1	271269.0	2176024.9
89000000.0	731735.5	271276.1	2177034.5
90000000.0	731820.0	271283.1	2178022.5
91000000.0	731902.6	271289.9	2178989.6
92000000.0	731983.5	271296.5	2179936.6
93000000.0	732062.6	271303.0	2180864.1
94000000.0	732140.1	271309.4	2181772.6
95000000.0	732215.9	271315.7	2182662.7
96000000.0	732290.2	271321.8	2183535.0
97000000.0	732363.0	271327.8	2184390.0
98000000.0	732434.3	271333.6	2185228.2
99000000.0	732504.1	271339.4	2186050.1
100000000.0	732572.6	271345.0	2186856.2
101000000.0	732639.8	271350.5	2187646.9
102000000.0	732705.6	271355.9	2188422.6
103000000.0	732770.2	271361.2	2189183.9
104000000.0	732833.5	271366.4	2189931.0
105000000.0	732895.7	271371.5	2190664.5
106000000.0	732956.6	271376.6	2191384.5
107000000.0	733016.5	271381.5	2192091.6
108000000.0	733075.2	271386.3	2192786.0
109000000.0	733132.9	271391.0	2193468.2
110000000.0	733189.6	271395.7	2194138.3
111000000.0	733245.2	271400.3	2194796.8
112000000.0	733299.9	271404.7	2195443.9
113000000.0	733353.6	271409.1	2196079.9
114000000.0	733406.3	271413.5	2196705.2
115000000.0	733458.2	271417.7	2197319.9
116000000.0	733509.1	271421.9	2197924.4
117000000.0	733559.2	271426.0	2198518.9
118000000.0	733608.5	271430.1	2199103.6
119000000.0	733656.9	271434.0	2199678.8
120000000.0	733704.5	271438.0	2200244.7
121000000.0	733751.4	271441.8	2200801.5
122000000.0	733797.5	271445.6	2201349.5
123000000.0	733842.8	271449.3	2201888.9
124000000.0	733887.4	271453.0	2202419.8
125000000.0	733931.3	271456.6	2202942.5
126000000.0	733974.6	271460.1	2203457.1
127000000.0	734017.1	271463.6	2203963.9
128000000.0	734059.0	271467.0	2204463.0
129000000.0	734100.2	271470.4	2204954.5
130000000.0	734140.8	271473.7	2205438.8
131000000.0	734180.8	271477.0	2205915.8
132000000.0	734220.2	271480.2	2206385.8
133000000.0	734259.0	271483.4	2206849.0
134000000.0	734297.2	271486.6	2207305.4
135000000.0	734334.9	271489.6	2207755.3
136000000.0	734372.0	271492.7	2208198.7
137000000.0	734408.6	271495.7	2208635.8
138000000.0	734444.6	271498.6	2209066.8
139000000.0	734480.2	271501.5	2209491.7
140000000.0	734515.2	271504.4	2209910.8
141000000.0	734549.7	271507.2	2210324.0
142000000.0	734583.8	271510.0	2210731.6
143000000.0	734617.4	271512.8	2211133.6
144000000.0	734650.5	271515.5	2211530.2
145000000.0	734683.2	271518.2	2211921.5
146000000.0	734715.4	271520.8	2212307.5
147000000.0	734747.2	271523.4	2212688.4
148000000.0	734778.5	271526.0	2213064.4
149000000.0	734809.5	271528.5	2213435.3
150000000.0	734840.0	271531.0	2213801.5
151000000.0	734870.1	271533.5	2214163.0
152000000.0	734899.9	271535.9	2214519.8
153000000.0	734929.2	271538.3	2214872.0
154000000.0	734958.2	271540.7	2215219.8
155000000.0	734986.8	271543.0	2215563.2
156000000.0	735015.0	271545.3	2215902.3
157000000.0	735042.9	271547.6	2216237.2
158000000.0	735070.4	271549.9	2216568.0
159000000.0	735097.6	271552.1	2216894.7
160000000.0	735124.4	271554.3	2217217.4
161000000.0	735150.9	271556.5	2217536.2
162000000.0	735177.1	271558.6	2217851.1
163000000.0	735203.0	271560.7	2218162.3
164000000.0	735228.5	271562.8	2218469.8
165000000.0	735253.8	271564.9	2218773.6
166000000.0	735278.7	271566.9	2219073.9
167000000.0	735303.4	271568.9	2219370.6
168000000.0	735327.7	271570.9	2219663.9
169000000.0	735351.8	271572.9	2219953.8
170000000.0	735375.6	271574.8	2220240.4
171000000.0	735399.1	271576.8	2220523.6
172000000.0	735422.3	271578.7	2220803.7
173000000.0	735445.3	271580.5	2221080.6
174000000.0	735468.0	271582.4	2221354.4
175000000.0	735490.4	271584.2	2221625.1
176000000.0	735512.6	271586.0	2221892.8
177000000.0	735534.6	271587.8	2222157.5
178000000.0	735556.3	271589.6	2222419.4
179000000.0	735577.7	271591.4	2222678.3
