#Transcript position	Transcript coverage profile
0.0	5.013073579314674
1.0	16.338243040391728
2.0	25.042523199801998
3.0	34.6004934364865
4.0	40.223756226971545
5.0	46.605526022578374
6.0	55.116875687668085
7.0	60.18398340560182
8.0	62.19314396571713
9.0	62.763485891269085
10.0	62.076520119071986
11.0	62.834198932192905
12.0	67.21196680444375
13.0	68.29846684379882
14.0	67.85731670039542
15.0	65.68990858783368
16.0	60.46025405143408
17.0	59.8484954877044
18.0	63.397598063431374
19.0	67.10563227192317
20.0	67.19695640751416
21.0	64.5411533556468
22.0	62.656646627391446
23.0	59.58784278321551
24.0	57.17436972755055
25.0	56.1792514998276
26.0	56.49742022850929
27.0	55.41968258745307
28.0	58.64782104150548
29.0	60.73206648892277
30.0	64.21217854349487
31.0	63.45834327473181
32.0	65.85226739591171
33.0	68.30774917789934
34.0	69.76880602458218
35.0	67.92692473176307
36.0	67.73252546292134
37.0	69.59871308577297
38.0	68.63726130627164
39.0	64.70440888465265
40.0	64.49498721062493
41.0	63.41109899928925
42.0	63.323497702670934
43.0	60.66839360765129
44.0	58.650426845403835
45.0	58.465488523263666
46.0	60.91309498465798
47.0	62.03806978668318
48.0	59.62890491401277
49.0	59.154202440676045
50.0	61.670257521153175
51.0	63.22460701003742
52.0	65.77361753693779
53.0	66.30380670248684
54.0	66.58052678176449
55.0	63.81419323859822
56.0	63.88059095508811
57.0	62.413058260370775
58.0	61.6421280923951
59.0	60.492292543711436
60.0	63.03495129757037
61.0	61.82300929520821
62.0	61.173938361031965
63.0	61.83096898255406
64.0	64.18580210792777
65.0	63.412419771753676
66.0	66.570300828067
67.0	66.15421279778656
68.0	66.84714351504071
69.0	64.97035714584936
70.0	64.4920743319563
71.0	66.18998845024353
72.0	68.64326992691433
73.0	69.0612544653799
74.0	70.60230042554852
75.0	71.77716724561604
76.0	69.64747167926619
77.0	66.3174210366736
78.0	65.01629034874632
79.0	66.35369776074768
80.0	66.18346209484538
81.0	63.32356241111257
82.0	62.44770510137665
83.0	62.77320178705493
84.0	57.00621273414191
85.0	54.240889241055044
86.0	52.679376204131934
87.0	52.03976605022068
88.0	49.086366640300575
89.0	42.64044689911037
90.0	38.35453576320125
91.0	35.5076678368999
92.0	28.42690336014497
93.0	18.89857062904743
94.0	16.046162707583655
95.0	13.703245007285075
96.0	12.273061125998053
97.0	7.982753044056351
98.0	3.7886961069813627
99.0	0.9985464020254
