#Transcript position	Transcript coverage profile
0.0	12.681807542529327
1.0	34.27247647864294
2.0	49.95300170990478
3.0	61.76327459513426
4.0	71.59471165744694
5.0	82.27175625981423
6.0	92.89408083536753
7.0	97.17676830006876
8.0	103.85335039653339
9.0	108.82474068574773
10.0	106.31659716108913
11.0	106.01537596631483
12.0	113.06335885764918
13.0	116.30516846342472
14.0	120.67582695067594
15.0	118.76926881622953
16.0	109.88038862529226
17.0	105.76802079814061
18.0	104.92720850573717
19.0	101.39402492991329
20.0	100.07475420567637
21.0	93.97559570425263
22.0	90.52664610794392
23.0	91.6196175783797
24.0	93.2137721685226
25.0	94.30348855216937
26.0	92.78952747964743
27.0	89.45263494504616
28.0	95.6526300069156
29.0	97.81705762046168
30.0	101.62343758563057
31.0	99.08963246233873
32.0	103.84301330403187
33.0	108.80507937248211
34.0	113.42387500673192
35.0	110.5867361610995
36.0	106.39643018727598
37.0	110.80130098140475
38.0	112.93159828747382
39.0	110.59857260421785
40.0	109.92206457951009
41.0	108.703733440244
42.0	109.60181815289475
43.0	109.04630593958879
44.0	108.59083208724888
45.0	108.54541858016107
46.0	109.72862006947847
47.0	109.89458304630901
48.0	105.81498709149635
49.0	102.99200286274856
50.0	106.49056095810207
51.0	109.95310868669922
52.0	115.46173835103474
53.0	116.8560863826583
54.0	116.68313645316445
55.0	110.20790101783447
56.0	109.37315285855459
57.0	108.11445914625459
58.0	106.70352871940128
59.0	102.34297482686378
60.0	105.46995487965054
61.0	103.5102598520374
62.0	103.92372631647058
63.0	105.46043931308785
64.0	107.26101805115292
65.0	107.72999621310862
66.0	112.56950444160012
67.0	109.29857505005725
68.0	109.52191769570533
69.0	110.60775569401399
70.0	106.73905058911569
71.0	106.25350348982579
72.0	106.53369934209334
73.0	108.23590481932449
74.0	111.99363941132388
75.0	115.08307267255081
76.0	108.96688073001451
77.0	102.79513072771302
78.0	100.41798599044722
79.0	102.4236465324634
80.0	104.77850112949011
81.0	99.98874160956362
82.0	97.55196204223199
83.0	98.18106463972074
84.0	92.5739609637986
85.0	86.40880758641717
86.0	84.72479495854324
87.0	84.6554291541623
88.0	80.21548736674147
89.0	73.16247155660298
90.0	65.60450007296481
91.0	59.92553709790968
92.0	48.24712580735806
93.0	35.19049445352146
94.0	28.370892754320625
95.0	25.451610546965753
96.0	24.386425467593227
97.0	18.310636971186078
98.0	9.192856856903653
99.0	2.3377124096439417
