Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C	PAU8	I	-	1807	2169	1.903581	118.357834	296.711823
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.137205	8.530915	21.386190
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.263222	16.366199	41.028503
YAL064W-B	YAL064W-B	I	+	12046	12426	1.142607	71.043198	178.098541
YAL064C-A	TDA8	I	-	13363	13743	0.262467	16.319256	40.910820
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.219515	13.648654	34.215878
YAL062W	GDH3	I	+	31567	32940	1.590854	98.913589	247.966949
YAL061W	BDH2	I	+	33448	34701	1.506380	93.661293	234.799957
YAL060W	BDH1	I	+	35155	36303	6.660139	414.103546	1038.118164
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	10.395148	646.333008	1620.295288
YAL058W	CNE1	I	+	37464	38972	4.730540	294.127991	737.350891
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	4.890869	304.096680	762.341431
YAL055W	PEX22	I	+	42177	42719	0.697514	43.368916	108.721748
YAL054C	ACS1	I	-	42881	45022	0.438261	27.249495	68.311890
YAL053W	FLC2	I	+	45899	48250	10.537260	655.169006	1642.446289
YAL051W	OAF1	I	+	48564	51707	4.236182	263.390594	660.295105
YAL049C	AIM2	I	-	51855	52595	8.020918	498.711884	1250.223267
YAL048C	GEM1	I	-	52801	54789	2.282386	141.910583	355.756287
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.647663	102.445770	256.821808
YAL046C	AIM1	I	-	57029	57385	4.700280	292.246552	732.634277
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	5.717718	355.507172	891.222656
YAL044C	GCV3	I	-	57950	58462	19.962963	1241.225464	3111.634033
YAL043C	PTA1	I	-	58695	61052	5.412055	336.502167	843.578857
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	23.463406	1458.870361	3657.249023
YAL041W	CDC24	I	+	62840	65404	5.829633	362.465668	908.666870
YAL040C	CLN3	I	-	65778	67520	5.713667	355.255310	890.591248
YAL039C	CYC3	I	-	68716	69525	3.593518	223.432053	560.122864
YAL038W	CDC19	I	+	71786	73288	1190.284302	74007.609375	185530.015625
YAL037C-B	YAL037C-B	I	-	72326	73300	6.954934	432.432861	1084.067993
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.078358	67.048431	168.084030
YAL036C	RBG1	I	-	75043	76152	13.746284	854.694580	2142.637939
YAL035W	FUN12	I	+	76427	79435	41.942589	2607.839600	6537.605469
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.306897	81.258163	203.706482
YAL034C	FUN19	I	-	80710	81951	1.492150	92.776527	232.581924
YAL033W	POP5	I	+	82706	83227	6.395594	397.655090	996.883423
YAL032C	PRP45	I	-	83335	84474	3.596197	223.598618	560.540466
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.758192	171.494492	429.920319
YAL030W	SNC1	I	+	87286	87752	10.563542	656.803101	1646.542847
YAL029C	MYO4	I	-	87855	92270	9.068673	563.857544	1413.537109
YAL028W	FRT2	I	+	92900	94486	0.415394	25.827709	64.747604
YAL027W	SAW1	I	+	94687	95472	1.348464	83.842651	210.185547
YAL026C-A	YAL026C-A	I	-	95386	95823	3.220708	200.252060	502.012848
YAL026C	DRS2	I	-	95630	99697	7.606915	472.970673	1185.692383
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	9.537459	593.005005	1486.606934
YAL024C	LTE1	I	-	101565	105872	2.474101	153.830719	385.638977
YAL023C	PMT2	I	-	106272	108551	33.531731	2084.882568	5226.602051
YAL022C	FUN26	I	-	108877	110430	6.080528	378.065399	947.773987
YAL021C	CCR4	I	-	110846	113359	8.919243	554.566528	1390.245483
YAL020C	ATS1	I	-	113614	114615	2.348303	146.009064	366.030792
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	8.932632	555.399048	1392.332397
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.643097	288.691101	723.721130
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	18.415501	1145.009766	2870.430176
YAL015C	NTG1	I	-	126903	128102	1.311937	81.571533	204.492065
YAL014C	SYN8	I	-	128252	129019	6.044611	375.832214	942.175598
YAL013W	DEP1	I	+	129270	130487	3.213330	199.793320	500.862854
YAL012W	CYS3	I	+	130799	131983	62.181355	3866.213379	9692.229492
YAL011W	SWC3	I	+	132199	134076	1.872188	116.405930	291.818573
YAL010C	MDM10	I	-	134184	135665	3.261806	202.807388	508.418823
YAL009W	SPO7	I	+	135854	136633	2.348718	146.034851	366.095490
YAL008W	FUN14	I	+	136914	137510	3.272195	203.453339	510.038147
YAL007C	ERP2	I	-	137698	138345	20.458345	1272.026367	3188.849365
tP(UGG)A	TRN1	I	+	139152	139254	2.222222	138.169800	346.378510
YAL005C	SSA1	I	-	139503	141431	692.662231	43067.250000	107965.492188
YAL004W	YAL004W	I	+	140760	141407	0.060423	3.756885	9.418154
YAL003W	EFB1	I	+	142174	143160	358.388123	22283.287109	55862.078125
snR18	snR18	I	+	142367	142468	23.186274	1441.639282	3614.052490
YAL002W	VPS8	I	+	143707	147531	2.797283	173.925003	436.013458
YAL001C	TFC3	I	-	147594	151166	2.836249	176.347794	442.087097
YAR002W	NUP60	I	+	152257	153876	6.461785	401.770599	1007.200623
YAR002C-A	ERP1	I	-	154065	154724	24.860867	1545.759399	3875.071777
YAR003W	SWD1	I	+	155005	156285	2.750842	171.037491	428.774689
YAR007C	RFA1	I	-	156754	158619	9.207194	572.470337	1435.128418
YAR008W	SEN34	I	+	158966	159793	0.966184	60.073853	150.599426
YAR009C	YAR009C	I	-	160597	164187	1672.881958	104013.789062	260752.671875
YAR010C	YAR010C	I	-	164544	165866	1916.023438	119131.460938	298651.218750
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	5.795540	360.345886	903.352783
YAR015W	ADE1	I	+	169375	170295	18.156895	1128.930542	2830.121338
YAR018C	KIN3	I	-	170396	171703	4.049312	251.771683	631.167664
YAR019C	CDC15	I	-	172211	175135	2.561459	159.262329	399.255493
YAR019W-A	YAR019W-A	I	+	174998	175330	0.340037	21.142279	53.001682
YAR020C	PAU7	I	-	176856	177023	0.000000	0.000000	0.000000
YAR023C	YAR023C	I	-	179281	179820	0.538890	33.506245	83.996971
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	9.588511	596.179260	1494.564453
YAR028W	YAR028W	I	+	184892	185596	3.687234	229.258972	574.730408
YAR029W	YAR029W	I	+	186321	186545	0.573333	35.647793	89.365608
YAR030C	YAR030C	I	-	186512	186853	0.483871	30.085361	75.421135
YAR031W	PRM9	I	+	186836	187732	3.134048	194.863861	488.505127
YAR033W	MST28	I	+	188107	188811	1.551188	96.447296	241.784210
YAR035W	YAT1	I	+	190193	192256	0.937677	58.301395	146.156036
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.993366	372.645996	934.187988
YAR047C	YAR047C	I	-	201467	201787	0.439252	27.311113	68.466362
YAR050W	FLO1	I	+	203403	208016	0.499884	31.080994	77.917091
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	0.692461	43.054737	107.934135
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.349439	21.726864	54.467175
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.869009	116.208275	291.323059
YAR068W	YAR068W	I	+	222406	222891	2.443336	151.917862	380.843628
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.016667	1.036294	2.597891
