ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	RPKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	3	3	0	0	8.26446280991735	174.142669516569	3	3	0	0	8.26446280991735	174.142669516569
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	1	1	0	0	0.561167227833894	11.8245022511251	1	1	0	0	0.561167227833894	11.8245022511251
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	1	1	0	0	2.58397932816537	54.4477080400644	0	0	NA	0	0	0
YAL064W-B	381	1	1	0	0	2.6246719160105	55.3051522611677	1	1	0	0	2.6246719160105	55.3051522611677
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C	3969	7	7	0	0	1.7636684303351	37.1627213606789	3	3	0	0	0.755857898715041	15.9268805831481
YAL062W	1374	5	5	0	0	3.63901018922853	76.6785407987806	5	5	0	0	3.63901018922853	76.6785407987806
YAL061W	1254	32	32	0	0	25.518341307815	537.70368131432	32	32	0	0	25.518341307815	537.70368131432
YAL060W	1149	54	54	0	0	46.9973890339426	990.29434518822	54	54	0	0	46.9973890339426	990.29434518822
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	24	24	0	0	37.5586854460094	791.408939399245	24	24	0	0	37.5586854460094	791.408939399245
YAL058W	1509	25	25	0	0	16.5672630881378	349.093157910949	25	25	0	0	16.5672630881378	349.093157910949
YAL056C-A	351	27	26	0.037037037037037	1	76.9230769230769	1620.86638550038	0	0	NA	0	0	0
YAL056W	2643	62	62	0	0	23.4581914491109	494.29372179845	62	62	0	0	23.4581914491109	494.29372179845
YAL055W	543	9	9	0	0	16.5745856353591	349.247453229363	9	9	0	0	16.5745856353591	349.247453229363
YAL054C	2142	6	6	0	0	2.80112044817927	59.0231456904899	6	6	0	0	2.80112044817927	59.0231456904899
YAL053W	2352	126	124	0.0158730158730159	2	53.5714285714286	1128.81766133062	122	120	0.0163934426229508	2	51.8707482993197	1092.98218001854
YAL051W	3144	42	42	0	0	13.3587786259542	281.486337939951	40	40	0	0	12.7226463104326	268.082226609477
YAL049C	741	43	43	0	0	58.029689608637	1222.75885221958	41	41	0	0	55.3306342780027	1165.88634746518
YAL048C	1989	21	21	0	0	10.5580693815988	222.471856833385	21	21	0	0	10.5580693815988	222.471856833385
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	21	21	0	0	11.2359550561798	236.755764174212	21	21	0	0	11.2359550561798	236.755764174212
YAL046C	357	4	4	0	0	11.2044817927171	236.09258276196	4	4	0	0	11.2044817927171	236.09258276196
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	12	12	0	0	36.036036036036	759.324793207384	12	12	0	0	36.036036036036	759.324793207384
YAL044C	513	49	48	0.0204081632653061	1	95.5165692007797	2012.65475158624	49	48	0.0204081632653061	1	95.5165692007797	2012.65475158624
YAL043C	2358	72	72	0	0	30.5343511450382	643.397343862745	72	72	0	0	30.5343511450382	643.397343862745
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	162	160	0.0123456790123457	2	129.807692307692	2735.21202553189	160	158	0.0125	2	128.205128205128	2701.44397583396
YAL041W	2565	70	70	0	0	27.2904483430799	575.044214738925	70	70	0	0	27.2904483430799	575.044214738925
YAL040C	1743	38	38	0	0	21.8014916810098	459.384965253693	38	38	0	0	21.8014916810098	459.384965253693
YAL039C	810	13	13	0	0	16.0493827160494	338.180764382178	13	13	0	0	16.0493827160494	338.180764382178
YAL038W	1503	6254	5400	0.136552606331948	854	4161.01131071191	87677.7637218574	6239	5385	0.136880910402308	854	4151.03127079175	87467.4716758344
YAL037C-B	975	1	1	0	0	1.02564102564103	21.6115518066717	1	1	0	0	1.02564102564103	21.6115518066717
YAL037C-A	93	1	1	0	0	10.752688172043	226.572720553816	1	1	0	0	10.752688172043	226.572720553816
YAL037W	804	6	6	0	0	7.46268656716418	157.248231429141	6	6	0	0	7.46268656716418	157.248231429141
YAL036C	1110	68	68	0	0	61.2612612612613	1290.85214845255	66	66	0	0	59.4594594594595	1252.88590879218
YAL035W	3009	444	442	0.0045045045045045	2	147.557328015952	3109.21926789903	432	430	0.00462962962962963	2	143.569292123629	3025.18631471257
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	9	9	0	0	10.3448275862069	217.978582877637	9	9	0	0	10.3448275862069	217.978582877637
YAL034C	1242	22	22	0	0	17.7133655394525	373.242984100731	22	22	0	0	17.7133655394525	373.242984100731
YAL033W	522	13	13	0	0	24.904214559387	524.763255075793	13	13	0	0	24.904214559387	524.763255075793
YAL032C	1140	17	17	0	0	14.9122807017544	314.220588768056	17	17	0	0	14.9122807017544	314.220588768056
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	43	43	0	0	18.8348664038546	396.874423782177	41	41	0	0	17.9588261060009	378.415148257425
YAL030W	354	19	19	0	0	53.6723163841808	1130.94349496778	19	19	0	0	53.6723163841808	1130.94349496778
YAL029C	4416	187	187	0	0	42.3460144927536	892.28400886581	187	187	0	0	42.3460144927536	892.28400886581
YAL028W	1587	9	9	0	0	5.6710775047259	119.496765660708	9	9	0	0	5.6710775047259	119.496765660708
YAL027W	786	12	12	0	0	15.2671755725191	321.698671931373	12	12	0	0	15.2671755725191	321.698671931373
YAL026C-A	438	9	9	0	0	20.5479452054795	432.971157770649	9	9	0	0	20.5479452054795	432.971157770649
YAL026C	4068	124	124	0	0	30.4818092428712	642.29021962306	124	124	0	0	30.4818092428712	642.29021962306
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	24	24	0	0	26.0586319218241	549.088286944753	24	24	0	0	26.0586319218241	549.088286944753
YAL024C	4308	51	51	0	0	11.8384401114206	249.450885233693	51	51	0	0	11.8384401114206	249.450885233693
YAL023C	2280	341	336	0.0146627565982405	5	149.561403508772	3151.44766970315	337	332	0.0148367952522255	5	147.80701754386	3114.48054161279
YAL022C	1554	46	46	0	0	29.6010296010296	623.731080134637	44	44	0	0	28.3140283140283	596.612337520088
YAL021C	2514	121	121	0	0	48.1304693715195	1014.16977899447	121	121	0	0	48.1304693715195	1014.16977899447
YAL020C	1002	14	14	0	0	13.9720558882236	294.408864432204	14	14	0	0	13.9720558882236	294.408864432204
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	107	107	0	0	31.5076560659599	663.90610784188	105	105	0	0	30.9187279151943	651.496647882219
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	111	111	0	0	27.2660280029477	574.529647329169	106	106	0	0	26.0378285433554	548.649933485512
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	160	159	0.00625	1	83.8574423480084	1766.98222318699	160	159	0.00625	1	83.8574423480084	1766.98222318699
YAL015C	1200	14	14	0	0	11.6666666666667	245.831401800891	14	14	0	0	11.6666666666667	245.831401800891
YAL014C	768	19	19	0	0	24.7395833333333	521.29426721171	19	19	0	0	24.7395833333333	521.29426721171
YAL013W	1218	11	11	0	0	9.0311986863711	190.298762829683	11	11	0	0	9.0311986863711	190.298762829683
YAL012W	1185	312	305	0.0224358974358974	7	263.291139240506	5547.87684353547	310	303	0.0225806451612903	7	261.603375527426	5512.31353043588
YAL011W	1878	13	13	0	0	6.92225772097977	145.860713072185	13	13	0	0	6.92225772097977	145.860713072185
YAL010C	1482	16	16	0	0	10.7962213225371	227.490019017597	14	14	0	0	9.44669365721997	199.053766640397
YAL009W	780	22	22	0	0	28.2051282051282	594.317674683472	22	22	0	0	28.2051282051282	594.317674683472
YAL008W	597	17	17	0	0	28.4757118927973	600.019214732971	17	17	0	0	28.4757118927973	600.019214732971
YAL007C	648	74	74	0	0	114.197530864198	2406.28620810396	74	74	0	0	114.197530864198	2406.28620810396
tP(UGG)A	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL005C	1929	6493	5691	0.123517634375481	802	3365.99274235355	70925.7183689484	6364	5566	0.12539283469516	798	3299.11871435977	69516.5981364527
YAL004W	648	1	1	0	0	1.54320987654321	32.517381190594	1	1	0	0	1.54320987654321	32.517381190594
YAL003W	621	857	804	0.0618436406067678	53	1380.03220611916	29079.0215794842	853	800	0.0621336459554514	53	1373.59098228663	28943.2968579931
snR18	102	5	4	0.2	1	49.0196078431373	1032.90504958357	5	4	0.2	1	49.0196078431373	1032.90504958357
YAL002W	3825	39	39	0	0	10.1960784313726	214.844250313383	39	39	0	0	10.1960784313726	214.844250313383
YAL001C	3483	56	56	0	0	16.0780935974734	338.785738915956	56	56	0	0	16.0780935974734	338.785738915956
YAR002W	1620	67	67	0	0	41.358024691358	871.465815907919	67	67	0	0	41.358024691358	871.465815907919
YAR002C-A	660	91	91	0	0	137.878787878788	2905.28020310143	89	89	0	0	134.848484848485	2841.42789094536
YAR003W	1281	30	30	0	0	23.4192037470726	493.472201674588	30	30	0	0	23.4192037470726	493.472201674588
YAR007C	1866	66	66	0	0	35.3697749196142	745.28582998892	66	66	0	0	35.3697749196142	745.28582998892
YAR008W	828	14	14	0	0	16.9082125603865	356.277393914334	14	14	0	0	16.9082125603865	356.277393914334
YAR009C	3591	18042	15349	0.14926283117171	2693	5024.22723475355	105866.813493058	17438	14774	0.152769813051955	2664	4856.02896129212	102322.663434871
YAR010C	1323	7527	6438	0.144679155041849	1089	5689.34240362812	119881.630149356	7200	6131	0.148472222222222	1069	5442.1768707483	114673.540198666
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	65	65	0	0	30.5164319248826	643.019763261887	65	65	0	0	30.5164319248826	643.019763261887
YAR015W	921	65	65	0	0	70.5754614549403	1487.11411047537	65	65	0	0	70.5754614549403	1487.11411047537
YAR018C	1308	25	25	0	0	19.1131498470948	402.738207406439	25	25	0	0	19.1131498470948	402.738207406439
