Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.000000	0.000000	0.000000
YAL068W-A	YAL068W-A	I	+	538	792	0.607843	73.538918	179.352524
YAL068C	PAU8	I	-	1807	2169	1.165289	140.980637	343.834717
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.130425	15.779262	38.483711
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.199483	24.134134	58.860233
YAL064W-B	YAL064W-B	I	+	12046	12426	0.531059	64.249329	156.696350
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.178096	21.546659	52.549702
YAL062W	GDH3	I	+	31567	32940	0.563774	68.207298	166.349365
YAL061W	BDH2	I	+	33448	34701	4.158954	503.164429	1227.157349
YAL060W	BDH1	I	+	35155	36303	7.743799	936.871216	2284.915527
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	5.414711	655.090149	1597.685791
YAL058W	CNE1	I	+	37464	38972	2.607414	315.453827	769.353760
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	3.904262	472.350922	1152.006836
YAL055W	PEX22	I	+	42177	42719	2.303867	278.729675	679.788025
YAL054C	ACS1	I	-	42881	45022	0.415500	50.268604	122.599052
YAL053W	FLC2	I	+	45899	48250	8.187290	990.526245	2415.773682
YAL051W	OAF1	I	+	48564	51707	2.007475	242.871155	592.333374
YAL049C	AIM2	I	-	51855	52595	8.186910	990.480225	2415.661621
YAL048C	GEM1	I	-	52801	54789	1.688788	204.315338	498.300385
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.765383	213.582047	520.900818
YAL046C	AIM1	I	-	57029	57385	1.563042	189.102142	461.197296
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	4.924925	595.834167	1453.167603
YAL044C	GCV3	I	-	57950	58462	13.306043	1609.810303	3926.133057
YAL043C	PTA1	I	-	58695	61052	4.739611	573.414307	1398.488159
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	19.563101	2366.810547	5772.364746
YAL041W	CDC24	I	+	62840	65404	4.333294	524.256653	1278.598633
YAL040C	CLN3	I	-	65778	67520	3.552081	429.742859	1048.090942
YAL039C	CYC3	I	-	68716	69525	2.196296	265.715363	648.047668
YAL038W	CDC19	I	+	71786	73288	656.853088	79468.328125	193813.656250
YAL037C-B	YAL037C-B	I	-	72326	73300	3.997754	483.661896	1179.592896
YAL037C-A	YAL037C-A	I	-	73426	73518	0.526882	63.743977	155.463867
YAL037W	YAL037W	I	+	74020	74823	1.283271	155.254486	378.646942
YAL036C	RBG1	I	-	75043	76152	8.745665	1058.080322	2580.530029
YAL035W	FUN12	I	+	76427	79435	22.925453	2773.599365	6764.474121
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.648276	199.414032	486.346771
YAL034C	FUN19	I	-	80710	81951	2.160225	261.351379	637.404419
YAL033W	POP5	I	+	82706	83227	4.049330	489.901764	1194.811157
YAL032C	PRP45	I	-	83335	84474	2.709211	327.769592	799.390381
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.881078	348.562622	850.102112
YAL030W	SNC1	I	+	87286	87752	8.364404	1011.954041	2468.033691
YAL029C	MYO4	I	-	87855	92270	6.482450	784.268860	1912.737061
YAL028W	FRT2	I	+	92900	94486	0.929427	112.445244	274.240356
YAL027W	SAW1	I	+	94687	95472	2.218380	268.387177	654.563843
YAL026C-A	YAL026C-A	I	-	95386	95823	4.414790	534.116333	1302.645142
YAL026C	DRS2	I	-	95630	99697	5.083107	614.971558	1499.841431
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.865364	467.644897	1140.529419
YAL024C	LTE1	I	-	101565	105872	1.965327	237.771942	579.897095
YAL023C	PMT2	I	-	106272	108551	23.488157	2841.677246	6930.507812
YAL022C	FUN26	I	-	108877	110430	4.610773	557.827026	1360.472656
YAL021C	CCR4	I	-	110846	113359	7.256961	877.971863	2141.267334
YAL020C	ATS1	I	-	113614	114615	1.995010	241.363113	588.655457
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	5.043875	610.225220	1488.265503
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.317776	522.379272	1274.019897
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	13.146322	1590.486816	3879.005127
YAL015C	NTG1	I	-	126903	128102	1.613333	195.186523	476.036346
YAL014C	SYN8	I	-	128252	129019	3.427424	414.661438	1011.309143
YAL013W	DEP1	I	+	129270	130487	1.502053	181.723480	443.201630
YAL012W	CYS3	I	+	130799	131983	39.069622	4726.775879	11528.036133
YAL011W	SWC3	I	+	132199	134076	1.111106	134.425400	327.847290
YAL010C	MDM10	I	-	134184	135665	1.328602	160.738785	392.022491
YAL009W	SPO7	I	+	135854	136633	3.720513	450.120331	1097.789062
YAL008W	FUN14	I	+	136914	137510	4.480737	542.094849	1322.103760
YAL007C	ERP2	I	-	137698	138345	16.027771	1939.094238	4729.216797
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	530.985779	64240.468750	156674.750000
YAL004W	YAL004W	I	+	140760	141407	0.089459	10.823054	26.396122
YAL003W	EFB1	I	+	142174	143160	199.639297	24153.042969	58906.351562
snR18	snR18	I	+	142367	142468	5.843137	706.922607	1724.098877
YAL002W	VPS8	I	+	143707	147531	1.483922	179.529938	437.851837
YAL001C	TFC3	I	-	147594	151166	2.760264	333.946136	814.454285
YAR002W	NUP60	I	+	152257	153876	6.201234	750.246399	1829.760376
YAR002C-A	ERP1	I	-	154065	154724	20.416666	2470.077637	6024.221191
YAR003W	SWD1	I	+	155005	156285	3.593030	434.696991	1060.173462
YAR007C	RFA1	I	-	156754	158619	5.405681	653.997681	1595.021362
YAR008W	SEN34	I	+	158966	159793	2.159420	261.253967	637.166931
YAR009C	YAR009C	I	-	160597	164187	762.998474	92310.156250	225133.312500
YAR010C	YAR010C	I	-	164544	165866	817.009460	98844.585938	241070.015625
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	4.514319	546.157654	1332.012573
YAR015W	ADE1	I	+	169375	170295	10.082519	1219.817505	2974.987549
YAR018C	KIN3	I	-	170396	171703	2.715596	328.542053	801.274353
YAR019C	CDC15	I	-	172211	175135	1.626363	196.762939	479.881012
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.008929	1.080261	2.634626
YAR023C	YAR023C	I	-	179281	179820	0.634259	76.734818	187.146942
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.951219	115.081711	280.670410
YAR027W	UIP3	I	+	183770	184477	7.091806	857.990784	2092.535889
YAR028W	YAR028W	I	+	184892	185596	5.033333	608.949707	1485.154907
YAR029W	YAR029W	I	+	186321	186545	1.318886	159.563324	389.155670
YAR030C	YAR030C	I	-	186512	186853	1.080351	130.704544	318.772583
YAR031W	PRM9	I	+	186836	187732	3.209332	388.275909	946.958069
YAR033W	MST28	I	+	188107	188811	0.899525	108.827599	265.417358
YAR035W	YAT1	I	+	190193	192256	0.197731	23.922171	58.343281
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.029110	608.438843	1483.908813
YAR047C	YAR047C	I	-	201467	201787	0.510903	61.810783	150.749039
YAR050W	FLO1	I	+	203403	208016	0.207010	25.044775	61.081181
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	1.232143	149.068863	363.560944
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.475067	57.475220	140.175125
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.910131	231.094147	563.610718
YAR068W	YAR068W	I	+	222406	222891	2.599716	314.522461	767.082336
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene	+	1	729	0.0	0.0	0.0
