Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.242566	56.986820	113.780296
YAL068W-A	YAL068W-A	I	+	538	792	0.084674	19.892738	39.717987
YAL068C	PAU8	I	-	1807	2169	0.926997	217.782425	434.825958
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.169473	39.814846	79.494606
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.000000	0.000000	0.000000
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.343643	80.733170	161.192429
YAL063C	FLO9	I	-	24000	27968	0.273396	64.229813	128.241714
YAL062W	GDH3	I	+	31567	32940	1.374697	322.962036	644.828369
YAL061W	BDH2	I	+	33448	34701	1.180223	277.273621	553.606567
YAL060W	BDH1	I	+	35155	36303	4.877285	1145.836426	2287.785400
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	3.998435	939.365356	1875.543701
YAL058W	CNE1	I	+	37464	38972	1.895958	445.423553	889.335999
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	1.958256	460.059479	918.558044
YAL055W	PEX22	I	+	42177	42719	0.186004	43.698524	87.248795
YAL054C	ACS1	I	-	42881	45022	0.232960	54.730053	109.274422
YAL053W	FLC2	I	+	45899	48250	5.604167	1316.605225	2628.743408
YAL051W	OAF1	I	+	48564	51707	1.958808	460.189117	918.817017
YAL049C	AIM2	I	-	51855	52595	5.600540	1315.753174	2627.042236
YAL048C	GEM1	I	-	52801	54789	1.064605	250.111115	499.373688
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.263777	296.903259	592.799194
YAL046C	AIM1	I	-	57029	57385	1.535014	360.625854	720.028198
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	1.474474	346.402985	691.630737
YAL044C	GCV3	I	-	57950	58462	13.366469	3140.228271	6269.802246
YAL043C	PTA1	I	-	58695	61052	2.873622	675.109375	1347.928345
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	11.997195	2818.540283	5627.517578
YAL041W	CDC24	I	+	62840	65404	2.549318	598.919617	1195.807251
YAL040C	CLN3	I	-	65778	67520	2.522088	592.522339	1183.034424
YAL039C	CYC3	I	-	68716	69525	2.206173	518.303406	1034.848389
YAL038W	CDC19	I	+	71786	73288	431.406982	101351.843750	202359.828125
YAL037C-B	YAL037C-B	I	-	72326	73300	0.000000	0.000000	0.000000
YAL037C-A	YAL037C-A	I	-	73426	73518	0.473118	111.151161	221.925201
YAL037W	YAL037W	I	+	74020	74823	0.836831	196.599426	392.531860
YAL036C	RBG1	I	-	75043	76152	5.415316	1272.237793	2540.159180
YAL035W	FUN12	I	+	76427	79435	16.151609	3794.550293	7576.226562
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	0.236422	55.543392	110.898338
YAL034C	FUN19	I	-	80710	81951	1.292271	303.597443	606.164856
YAL033W	POP5	I	+	82706	83227	2.593870	609.386292	1216.705200
YAL032C	PRP45	I	-	83335	84474	1.534210	360.436951	719.651062
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	1.745510	410.078369	818.765442
YAL030W	SNC1	I	+	87286	87752	5.110169	1200.548706	2397.024170
YAL029C	MYO4	I	-	87855	92270	4.104733	964.338257	1925.404907
YAL028W	FRT2	I	+	92900	94486	0.493384	115.912308	231.431366
